,Index,RegionID,RegionName,City,State,Metro,SizeRank,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ORI,AGENCY NAME,CountyName,County Name,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
0,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OHCLP00,CLEVELAND,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"385,351","5,999","18,944",107,497,"2,697","2,698","5,853","9,696","3,395",253
1,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH018A1,NOTRE DAME COLLEGE,CUYAHOGA COUNTY,CUYAHOGA COUNTY,0,2,38,0,2,0,0,9,29,0,0
2,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01801,BAY VILLAGE,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"15,327",2,73,0,1,0,1,11,61,1,0
3,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01803,BEDFORD,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"12,641",25,228,1,1,16,7,50,146,32,0
4,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01804,BEDFORD HEIGHTS,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"10,558",22,255,1,1,9,11,32,173,50,0
5,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01806,BEREA,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"18,871",8,140,0,1,1,6,27,105,8,2
6,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01808,BRECKSVILLE,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"13,432",2,52,0,1,0,1,4,47,1,0
7,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01809,BROADVIEW HEIGHTS,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"19,228",1,21,0,0,0,1,5,11,5,0
8,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01810,BROOKLYN,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"10,809",23,677,1,5,11,6,31,612,34,0
9,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01813,CHAGRIN FALLS,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"3,991",2,39,0,1,0,1,3,36,0,0
