County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,0,280,3,42,6,229
#N/A,#N/A,1746,3,0,0,0,3
#N/A,#N/A,3168,6,0,0,0,6
#N/A,#N/A,907,0,0,0,0,0
#N/A,#N/A,1025,0,0,0,0,0
#N/A,#N/A,21026,13,2,4,1,6
Allen County,Lima,37220,275,5,52,81,137
Allen County,Bluffton,3987,1,0,1,0,0
Allen County,Delphos,3927,3,0,3,0,0
Allen County,Spencerville,2184,0,0,0,0,0
Allen County,Elida,1836,1,0,0,0,1
Allen County,Fort Shawnee,12096,14,1,4,3,6
#N/A,#N/A,12208,1,0,0,0,1
#N/A,#N/A,2916,0,0,0,0,0
#N/A,#N/A,23798,30,0,12,12,6
Ashland County,Ashland,20485,25,0,7,4,14
Ashland County,Loudonville,2581,3,1,1,1,0
,,29919,35,0,20,0,15
Ashtabula County,Geneva,1199,7,0,3,1,3
Ashtabula County,Roaming Shores,1466,0,0,0,0,0
Ashtabula County,Ashtabula,49924,42,0,8,4,30
Athens County,Athens,25526,34,0,4,6,24
Athens County,Glouster,1793,3,0,1,0,2
Athens County,Nelsonville,5284,13,0,2,4,7
Athens County,Albany,899,0,0,0,0,0
#N/A,#N/A,0,9,0,8,1,0
Athens County,Coolville,492,0,0,0,0,0
,,31510,20,1,9,4,6
Auglaize County,Saint Marys,8215,3,0,0,1,2
Auglaize County,Wapakoneta,9809,14,0,6,3,5
Auglaize County,Minster,2866,0,0,0,0,0
Auglaize County,New Bremen,2966,0,0,0,0,0
Auglaize County,New Knoxville,864,0,0,0,0,0
#N/A,#N/A,18192,6,0,2,2,2
Belmont County,Barnesville,4096,0,0,0,0,0
#N/A,#N/A,4153,8,1,2,1,4
#N/A,#N/A,1783,3,0,1,0,2
Belmont County,Martins Ferry,6731,13,0,6,0,7
Belmont County,Powhatan Point,1562,0,0,0,0,0
#N/A,#N/A,3649,0,0,0,0,0
Belmont County,Saint Clairsville,5096,1,0,0,0,1
Belmont County,Flushing,858,0,0,0,0,0
#N/A,#N/A,449,0,0,0,0,0
Belmont County,Belmont,29108,34,2,10,2,20
