,County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
7,Allen County,Lima,37220,275,5,52,81,137
8,Allen County,Bluffton,3987,1,0,1,0,0
9,Allen County,Delphos,3927,3,0,3,0,0
10,Allen County,Spencerville,2184,0,0,0,0,0
11,Allen County,Elida,1836,1,0,0,0,1
12,Allen County,Fort Shawnee,12096,14,1,4,3,6
16,Ashland County,Ashland,20485,25,0,7,4,14
17,Ashland County,Loudonville,2581,3,1,1,1,0
19,Ashtabula County,Geneva,1199,7,0,3,1,3
20,Ashtabula County,Roaming Shores,1466,0,0,0,0,0
21,Ashtabula County,Ashtabula,49924,42,0,8,4,30
22,Athens County,Athens,25526,34,0,4,6,24
23,Athens County,Glouster,1793,3,0,1,0,2
24,Athens County,Nelsonville,5284,13,0,2,4,7
25,Athens County,Albany,899,0,0,0,0,0
27,Athens County,Coolville,492,0,0,0,0,0
29,Auglaize County,Saint Marys,8215,3,0,0,1,2
30,Auglaize County,Wapakoneta,9809,14,0,6,3,5
31,Auglaize County,Minster,2866,0,0,0,0,0
32,Auglaize County,New Bremen,2966,0,0,0,0,0
33,Auglaize County,New Knoxville,864,0,0,0,0,0
35,Belmont County,Barnesville,4096,0,0,0,0,0
38,Belmont County,Martins Ferry,6731,13,0,6,0,7
39,Belmont County,Powhatan Point,1562,0,0,0,0,0
41,Belmont County,Saint Clairsville,5096,1,0,0,0,1
42,Belmont County,Flushing,858,0,0,0,0,0
44,Belmont County,Belmont,29108,34,2,10,2,20
46,Brown County,Georgetown,4356,10,0,6,3,1
47,Brown County,Ripley,1707,2,0,1,0,1
48,Brown County,Mount Orab,3525,4,1,2,0,1
52,Butler County,Hamilton,62094,312,3,75,111,123
53,Butler County,Middletown,46069,235,5,39,82,109
56,Butler County,Oxford,22459,18,0,5,7,6
57,Butler County,Oxford,2181,2,0,0,0,2
58,Butler County,West Chester,61386,64,0,21,15,28
64,Stark County,Minerva,1729,1,0,0,0,1
65,Stark County,Magnolia,258,0,0,0,0,0
70,Clark County,Springfield,58843,370,9,25,177,159
71,Clark County,Enon,2381,0,0,0,0,0
72,Clark County,South Charleston,1640,2,0,0,0,2
74,Clark County,South Vienna,375,0,0,0,0,0
76,Clermont County,Batavia,1656,0,0,0,0,0
77,Clermont County,Bethel,2791,3,0,0,0,3
78,Clermont County,Milford,6910,14,0,4,1,9
79,Clermont County,Amelia,4982,3,0,0,0,3
80,Clermont County,Felicity,825,3,0,1,0,2
81,Clermont County,New Richmond,2663,6,0,0,0,6
84,Clermont County,Williamsburg,2565,4,0,1,0,3
85,Clermont County,Goshen,15860,7,0,5,1,1
89,Clermont County,Loveland,2070,2,0,1,0,1
91,Clinton County,Blanchester,4261,12,0,6,2,4
92,Clinton County,New Vienna,1201,0,0,0,0,0
93,Clinton County,Sabina,2534,3,0,2,0,1
94,Clinton County,Wilmington,12416,23,0,3,8,12
95,Highland County,Lynchburg,2,0,0,0,0,0
97,Columbiana County,Columbiana,5583,3,0,1,1,1
98,Columbiana County,East Palestine,4503,11,0,2,1,8
99,Columbiana County,Lisbon,2680,1,0,1,0,0
100,Columbiana County,Salem,11883,21,0,4,1,16
102,Columbiana County,Wellsville,3347,0,0,0,0,0
103,Columbiana County,New Waterford,1183,0,0,0,0,0
108,Stark County,Minerva,2,0,0,0,0,0
110,Coshocton County,West Lafayette,2287,3,0,2,0,1
111,Coshocton County,Coshocton,34357,37,0,8,5,24
116,Cuyahoga County,Cleveland,385351,5999,107,497,2697,2698
118,Cuyahoga County,Bay Village,15327,2,0,1,0,1
119,Cuyahoga County,Bedford,12641,25,1,1,16,7
121,Cuyahoga County,Berea,18871,8,0,1,1,6
122,Cuyahoga County,Brecksville,13432,2,0,1,0,1
123,Cuyahoga County,Broadview Heights,19228,1,0,0,0,1
126,Cuyahoga County,Cleveland Heights,44525,131,2,16,79,34
127,Cuyahoga County,East Cleveland,17178,136,5,8,83,40
128,Cuyahoga County,Euclid,47270,303,4,26,118,155
129,Cuyahoga County,Fairview Park,16307,18,1,1,4,12
130,Cuyahoga County,Garfield Heights,27846,0,0,0,0,0
131,Cuyahoga County,Gates Mills,2232,2,0,0,1,1
135,Cuyahoga County,Lakewood,50151,74,2,6,40,26
136,Cuyahoga County,Lyndhurst,13586,18,0,0,7,11
139,Cuyahoga County,North Olmsted,31779,26,0,6,11,9
140,Cuyahoga County,North Royalton,30313,7,3,0,0,4
142,Cuyahoga County,Olmsted Falls,8898,3,0,1,1,1
143,Cuyahoga County,Parma,79340,141,0,39,37,65
144,Cuyahoga County,Parma Heights,20094,1,0,0,0,1
146,Cuyahoga County,Richmond Heights,10432,19,0,0,12,7
147,Cuyahoga County,Rocky River,20342,7,0,1,2,4
148,Cuyahoga County,Seven Hills,11668,3,0,0,1,2
149,Cuyahoga County,Solon,23023,13,0,2,4,7
150,Cuyahoga County,South Euclid,21628,33,0,5,14,14
