,Unnamed: 0,Unnamed: 0_x,County_x,City,2017 Population,2017 Violent Crime,2017 Murder,2017 Rape,2017 Robbery,2017 Aggravated Assault,Unnamed: 0_y,County_y,2016 Population,2016 Violent Crime,2016 Murder,2016 Rape,2016 Robbery,2016 Aggravated Assault,Unnamed: 0_x.1,County_x.1,2015 Population,2015 Violent Crime,2015 Murder,2015 Rape,2015 Robbery,2015 Aggravated Assault,Unnamed: 0_y.1,County_y.1,2014 Population,2014 Violent Crime,2014 Murder,2014 Rape,2014 Robbery,2014 Aggravated Assault,Unnamed: 0.1,County,2013 Population,2013 Violent Crime,2013 Murder,2013 Rape,2013 Robbery,2013 Aggravated Assault,RegionID,StateName,SizeRank,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2017 Median Price
44,112,197,Franklin County,Columbus,872205,4478,142,919,1963,1454,191.0,Franklin County,862515.0,4500.0,91.0,867.0,2144.0,1398.0,202.0,Franklin County,847745.0,4758.0,83.0,892.0,2264.0,1519.0,228.0,Franklin County,830811.0,4640.0,85.0,787.0,2112.0,1656.0,230.0,Franklin County,816364.0,4446.0,78.0,692.0,2463.0,1213.0,10920,Ohio,15,1166700,1264400,1416700,1525200,1608000,1749600
11,65,117,Cuyahoga County,Cleveland,385351,5999,107,497,2697,2698,115.0,Cuyahoga County,386227.0,6299.0,135.0,488.0,2980.0,2696.0,124.0,Cuyahoga County,387921.0,4506.0,78.0,376.0,2458.0,1594.0,142.0,Cuyahoga County,388655.0,5205.0,63.0,495.0,2992.0,1655.0,143.0,Cuyahoga County,389181.0,5782.0,58.0,436.0,3496.0,1792.0,24115,Ohio,43,0,0,0,294300,486200,625500
56,147,257,Hamilton County,Cincinnati,299116,2833,70,292,1196,1275,249.0,Hamilton County,298880.0,2720.0,57.0,249.0,1278.0,1136.0,265.0,Hamilton County,298478.0,2788.0,67.0,255.0,1266.0,1200.0,297.0,Hamilton County,297671.0,2719.0,60.0,248.0,1358.0,1053.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4099,Ohio,53,0,0,0,0,0,1436800
74,196,381,Lucas County,Toledo,277116,2829,35,180,780,1834,373.0,Lucas County,278366.0,3319.0,37.0,316.0,803.0,2163.0,386.0,Lucas County,279552.0,3156.0,24.0,228.0,902.0,2002.0,435.0,Lucas County,281150.0,3068.0,24.0,231.0,944.0,1869.0,450.0,Lucas County,283035.0,2902.0,28.0,129.0,962.0,1783.0,34303,Ohio,65,466700,550500,675400,771600,808800,861900
110,306,583,Summit County,Akron,197412,1377,42,209,395,731,576.0,Summit County,197257.0,1216.0,34.0,212.0,415.0,555.0,589.0,Summit County,197587.0,1225.0,29.0,179.0,414.0,603.0,668.0,Summit County,197891.0,1366.0,26.0,176.0,436.0,728.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30141,Ohio,123,0,0,0,136400,577700,692400
23,82,144,Cuyahoga County,Parma,79340,141,0,39,37,65,141.0,Cuyahoga County,79576.0,108.0,0.0,26.0,43.0,39.0,151.0,Cuyahoga County,79655.0,79.0,0.0,20.0,39.0,20.0,170.0,Cuyahoga County,80168.0,68.0,0.0,21.0,30.0,17.0,172.0,Cuyahoga County,80303.0,87.0,1.0,23.0,31.0,32.0,53812,Ohio,489,925100,969900,998200,1071500,1153100,1243300
43,109,194,Butler County,Fairfield,75853,38,0,15,6,17,53.0,Butler County,42810.0,110.0,1.0,17.0,21.0,71.0,58.0,Butler County,42824.0,91.0,3.0,15.0,26.0,47.0,67.0,Butler County,42654.0,98.0,1.0,13.0,19.0,65.0,66.0,Butler County,42677.0,120.0,1.0,12.0,37.0,70.0,45221,Ohio,1025,0,883600,1509200,1425100,1658600,1696900
105,291,566,Stark County,Canton,71031,836,16,97,188,535,559.0,Stark County,71652.0,677.0,8.0,77.0,171.0,421.0,571.0,Stark County,72111.0,814.0,7.0,69.0,242.0,496.0,649.0,Stark County,72391.0,730.0,7.0,91.0,229.0,403.0,668.0,Stark County,72598.0,673.0,11.0,72.0,357.0,233.0,51260,Ohio,200,0,0,0,0,0,719600
78,206,401,Mahoning County,Youngstown,63878,447,23,32,151,241,393.0,Mahoning County,64170.0,415.0,12.0,28.0,151.0,224.0,405.0,Mahoning County,64597.0,478.0,19.0,37.0,144.0,278.0,455.0,Mahoning County,64658.0,427.0,14.0,37.0,132.0,244.0,469.0,Mahoning County,64927.0,528.0,14.0,27.0,170.0,317.0,28060,Ohio,628,0,0,0,164200,261300,308200
71,191,375,Lorain County,Lorain,63672,373,2,30,87,254,367.0,Lorain County,63561.0,127.0,6.0,14.0,43.0,64.0,379.0,Lorain County,63700.0,171.0,0.0,20.0,66.0,85.0,427.0,Lorain County,63619.0,244.0,0.0,38.0,91.0,115.0,442.0,Lorain County,63582.0,303.0,6.0,30.0,161.0,106.0,32572,Ohio,637,0,0,0,0,0,455400
3,31,53,Butler County,Hamilton,62094,312,3,75,111,123,54.0,Butler County,62423.0,320.0,9.0,64.0,131.0,116.0,59.0,Butler County,62526.0,355.0,5.0,57.0,163.0,130.0,68.0,Butler County,62240.0,105.0,1.0,25.0,39.0,40.0,67.0,Butler County,62268.0,378.0,6.0,52.0,189.0,131.0,11786,Ohio,230,0,1230200,1445200,1492200,1719900,1762600
6,35,59,Butler County,West Chester,61386,64,0,21,15,28,60.0,Butler County,61080.0,43.0,0.0,15.0,14.0,14.0,65.0,Butler County,60365.0,76.0,0.0,27.0,17.0,32.0,74.0,Butler County,59629.0,56.0,0.0,15.0,22.0,19.0,73.0,Butler County,59435.0,43.0,1.0,11.0,15.0,16.0,14541,Ohio,704,2099200,2201100,2324000,2411000,2543200,2642900
