ORI,AGENCY NAME,County Name,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
OH00204,LIMA,ALLEN COUNTY,"37,220",275,"1,982",5,52,81,137,569,"1,334",79,20
OH00201,BLUFFTON,ALLEN COUNTY,"3,987",1,46,,1,,,9,36,1,
OH00202,DELPHOS,ALLEN COUNTY,"3,927",3,90,,3,,,17,72,1,
OH00205,SPENCERVILLE,ALLEN COUNTY,"2,184",,14,,,,,5,9,,
OH00207,ELIDA,ALLEN COUNTY,"1,836",1,4,,,,1,1,3,,
OH00211,SHAWNEE TOWNSHIP,ALLEN COUNTY,"12,096",14,135,1,4,3,6,24,108,3,
OH00213,AMERICAN TOWNSHIP,ALLEN COUNTY,"12,208",1,209,,,,1,15,183,11,
OH00216,MARION TOWNSHIP,ALLEN COUNTY,"2,916",,1,,,,,,1,,
OH00200,ALLEN COUNTY SHERIFF,ALLEN COUNTY,"23,798",30,659,,12,12,6,162,481,16,3
OH00301,ASHLAND,ASHLAND COUNTY,"20,485",25,375,,7,4,14,44,326,5,
OH00302,LOUDONVILLE,ASHLAND COUNTY,"2,581",3,66,1,1,1,,6,59,1,1
OH00300,ASHLAND,ASHLAND COUNTY,"29,919",35,204,,20,,15,50,137,17,1
OH00405,GENEVA-ON-THE-LAKE,ASHTABULA COUNTY,"1,199",7,33,,3,1,3,7,24,2,
OH00410,ROAMING SHORES VILLAGE,ASHTABULA COUNTY,"1,466",,1,,,,,1,,,
OH00400,ASHTABULA COUNTY SHERIFF,ASHTABULA COUNTY,"49,924",42,580,,8,4,30,170,366,44,1
OH00501,ATHENS,ATHENS COUNTY,"25,526",34,433,,4,6,24,44,370,19,5
OH00502,GLOUSTER,ATHENS COUNTY,"1,793",3,33,,1,,2,9,23,1,
OH00503,NELSONVILLE,ATHENS COUNTY,"5,284",13,152,,2,4,7,32,114,6,
OH00504,ALBANY,ATHENS COUNTY,899,,11,,,,,1,10,,
OH00510,OHIO UNIVERSITY,ATHENS COUNTY,,9,102,,8,1,,13,86,3,
OH00512,COOLVILLE,ATHENS COUNTY,492,,,,,,,,,,
OH00500,ATHENS COUNTY SHERIFF,ATHENS COUNTY,"31,510",20,391,1,9,4,6,118,255,18,1
OH00601,ST. MARYS,AUGLAIZE COUNTY,"8,215",3,129,,,1,2,34,89,6,2
OH00602,WAPAKONETA,AUGLAIZE COUNTY,"9,809",14,164,,6,3,5,25,137,2,1
