City Size,Values,Avg Crime Rate
Pop. 100000 and less,2014,129.4733048
Pop. 100000 and less,2015,133.7213436
Pop. 100000 and less,2016,128.4222771
Pop. 100000 and less,2017,144.9534676
Pop. 100001 - 200000,2014,690.278992
Pop. 100001 - 200000,2015,619.9800594
Pop. 100001 - 200000,2016,616.4546759
Pop. 100001 - 200000,2017,697.5259863
Pop. 200001 - 300000,2014,1002.328495
Pop. 200001 - 300000,2015,1031.510684
Pop. 200001 - 300000,2016,1051.189697
Pop. 200001 - 300000,2017,983.9981592
Pop. 300001 - 400000,2014,1339.234025
Pop. 300001 - 400000,2015,1161.576713
Pop. 300001 - 400000,2016,1630.906177
Pop. 300001 - 400000,2017,1556.762536
Pop. 400000 and over,2014,558.4904389
Pop. 400000 and over,2015,561.2536789
Pop. 400000 and over,2016,521.7300569
Pop. 400000 and over,2017,513.4114113
