,City,2017 Population,2017 Violent Crime,2016 Population,2016 Violent Crime,2015 Population,2015 Violent Crime,2014 Population,2014 Violent Crime,Crime Rate 2017,Crime Rate 2016,Crime Rate 2015,Crime Rate 2014
88,Columbus,872205,4478,862515,4500,847745.0,4758.0,830811.0,4640.0,0.5134114113081214,0.5217300568685762,0.5612536788774926,0.5584904388603424
49,Cleveland,385351,5999,386227,6299,387921.0,4506.0,388655.0,5205.0,1.5567625359736967,1.6309061769373971,1.1615767127843042,1.3392340250350567
61,Parma,79340,141,79576,108,79655.0,79.0,80168.0,68.0,0.1777161583060247,0.13571931235548407,0.09917770384784381,0.08482187406446463
166,Canton,71031,836,71652,677,72111.0,814.0,72391.0,730.0,1.1769509087581478,0.9448445263216658,1.1288152986368238,1.0084126479811026
121,Youngstown,63878,447,64170,415,64597.0,478.0,64658.0,427.0,0.6997714393061774,0.6467196509272246,0.7399724445407682,0.6603977852701909
116,Lorain,63672,373,63561,127,63700.0,171.0,63619.0,244.0,0.5858148008543786,0.19980805840059154,0.2684458398744113,0.3835332212075009
23,Springfield,58843,370,59503,411,59804.0,355.0,58891.0,442.0,0.6287918698910661,0.6907214762280893,0.5936057788776671,0.7505391316160364
58,Lakewood,50151,74,50349,63,50653.0,19.0,50923.0,66.0,0.14755438575501983,0.1251266162187928,0.037510117860738754,0.1296074465369283
10,Ashtabula,49924,42,49784,54,50154.0,59.0,50631.0,37.0,0.08412787436904094,0.10846858428410734,0.1176376759580492,0.07307775868539038
56,Euclid,47270,303,47416,275,47664.0,221.0,47969.0,12.0,0.6409985191453353,0.5799730048928632,0.4636623027861698,0.025016156267589486
112,Mentor,46663,72,46852,51,46802.0,59.0,46937.0,3.0,0.15429783768724686,0.10885341074020319,0.12606298876116406,0.00639154611500522
160,Mansfield,46507,248,46656,209,46605.0,236.0,46145.0,215.0,0.5332530586793386,0.44795953360768176,0.5063834352537281,0.46592263517174126
66,Strongsville,44758,18,44626,19,44638.0,35.0,44731.0,41.0,0.040216274185620446,0.04257607672657196,0.07840853084815629,0.09165902841429881
55,Cleveland Heights,44525,131,44696,145,44942.0,84.0,45207.0,106.0,0.2942167321729366,0.32441381779130124,0.18690756975657516,0.23447696153250605
104,Findlay,41474,128,41156,53,41095.0,113.0,41613.0,80.0,0.30862709167189084,0.12877830692973077,0.27497262440686215,0.1922476149280273
92,Grove City,40421,47,40161,43,39251.0,47.0,37945.0,38.0,0.11627619306795972,0.10706904708548094,0.11974217217395734,0.100144946633285
79,Lancaster,40026,127,39959,141,39793.0,99.0,39453.0,109.0,0.31729375905661317,0.3528616832253059,0.2487874751840776,0.2762781030593364
173,Warren,39643,227,40005,228,40425.0,228.0,40592.0,182.0,0.5726105491511743,0.5699287589051368,0.5640074211502784,0.44836420969649193
120,Boardman,39276,61,39692,54,39887.0,67.0,40047.0,65.0,0.1553111314797841,0.13604756626020356,0.16797452804171784,0.1623092865882588
72,Dublin,39242,27,38892,20,38074.0,21.0,37361.0,7.0,0.0688038326283064,0.051424457471973675,0.055155749330251615,0.0187361152003426
0,Lima,37220,275,37715,356,38154.0,347.0,38265.0,353.0,0.738850080601827,0.9439215166379424,0.9094721392252451,0.9225140467790408
90,Gahanna,35243,25,34859,20,34508.0,23.0,34249.0,24.0,0.07093607241154272,0.05737399236925902,0.06665121131331865,0.07007503868726095
93,Upper Arlington,35214,12,35150,16,34838.0,10.0,34600.0,4.0,0.03407735559720566,0.04551920341394026,0.02870428842069005,0.011560693641618497
126,Brunswick,34838,21,34774,25,34692.0,17.0,34620.0,19.0,0.060279005683449106,0.07189279346638293,0.049002651908220916,0.05488157134604275
117,North Ridgeville,33586,17,33095,12,32469.0,11.0,31706.0,11.0,0.05061632823200143,0.03625925366369542,0.033878468693215064,0.03469374881725856
179,Mason,33406,12,33026,6,31793.0,13.0,31416.0,11.0,0.03592169071424295,0.01816750439048023,0.040889503978863276,0.0350140056022409
67,Westlake,32330,13,32353,14,32358.0,16.0,32416.0,12.0,0.040210330961954845,0.04327264859518437,0.04944681377093763,0.037018756169792694
187,Bowling Green,31779,41,31404,42,31878.0,48.0,32145.0,38.0,0.12901601686648415,0.13374092472296523,0.1505740636175419,0.1182143412661378
75,Westerville,30887,35,30397,16,27775.0,14.0,29630.0,22.0,0.11331628193090944,0.05263677336579267,0.05040504050405041,0.07424907188660142
154,Kent,30270,44,29995,67,29831.0,65.0,32582.0,76.0,0.14535844070036338,0.2233705617602934,0.2178941369716067,0.23325762691056412
155,Kent,30270,44,29995,67,29831.0,65.0,32582.0,76.0,0.14535844070036338,0.2233705617602934,0.2178941369716067,0.23325762691056412
57,Garfield Heights,27846,0,27938,37,28088.0,138.0,28273.0,108.0,0.0,0.13243610852602192,0.4913130162346909,0.3819898843419517
85,Reynoldsburg,27631,71,27474,61,27084.0,6.0,26889.0,42.0,0.25695776482935834,0.22202809929387785,0.022153300841825433,0.15619770166238983
184,Wooster,27172,102,26883,73,26651.0,57.0,26455.0,73.0,0.37538642720447524,0.27154707435926045,0.21387565194551797,0.2759402759402759
127,Medina,26199,17,26280,13,26496.0,29.0,26551.0,21.0,0.0648879728233902,0.04946727549467276,0.10945048309178745,0.07909306617453203
137,Troy,25865,38,25745,22,25649.0,61.0,25500.0,41.0,0.14691668277595205,0.08545348611380851,0.23782603610277203,0.1607843137254902
11,Athens,25526,34,25203,27,23960.0,22.0,24083.0,27.0,0.13319752409308155,0.1071301035591001,0.09181969949916528,0.1121122783706349
141,Zanesville,25457,100,25494,93,25337.0,92.0,25415.0,103.0,0.3928192638566995,0.36479171569781127,0.36310534001657657,0.4052724768837301
76,Sandusky,24861,70,25078,45,25213.0,55.0,25236.0,73.0,0.28156550420337073,0.17944014674216446,0.21814143497402133,0.289269297828499
177,Marysville,23622,17,22952,7,22851.0,12.0,22460.0,11.0,0.07196681060028787,0.03049843150923667,0.05251411316791388,0.04897595725734639
128,Wadsworth,23388,24,21910,24,21966.0,17.0,21894.0,11.0,0.1026167265264238,0.10953902327704243,0.07739233360648275,0.05024207545446241
64,Solon,23023,13,22971,11,23014.0,13.0,23113.0,8.0,0.0564652738565782,0.047886465543511385,0.0564873555227253,0.034612555704581834
114,Willoughby,22857,34,22701,45,22495.0,27.0,22501.0,22.0,0.14875092969331058,0.19822915290075327,0.12002667259390977,0.09777343229189814
125,Alliance,21803,75,21973,99,21984.0,131.0,22152.0,75.0,0.3439893592624868,0.4505529513493834,0.5958879184861717,0.33856988082340195
188,Perrysburg,21732,7,21548,8,21511.0,8.0,21518.0,4.0,0.03221056506534143,0.03712641544458883,0.037190274743154665,0.018589088205223533
162,Chillicothe,21695,93,21692,94,21696.0,100.0,21896.0,81.0,0.4286702005070293,0.43333947999262395,0.4609144542772861,0.3699305809280234
65,South Euclid,21628,33,21686,35,21772.0,37.0,21895.0,22.0,0.15257998890327354,0.16139444803098774,0.16994304611427521,0.10047956154373146
135,Piqua,20973,54,20845,39,20821.0,52.0,20746.0,35.0,0.25747389500786727,0.18709522667306308,0.24974785072763078,0.16870722066904464
7,Ashland,20485,25,20278,24,20144.0,20.0,20293.0,15.0,0.12204051745179399,0.11835486734391952,0.09928514694201747,0.07391711427585868
165,Sidney,20466,42,20797,45,20836.0,39.0,20961.0,37.0,0.20521841102316035,0.21637736211953645,0.18717604146669226,0.17651829588283
113,Painesville,19719,11,19827,8,19913.0,17.0,20026.0,50.0,0.055783761854049395,0.04034901901447521,0.08537136543966253,0.24967542195146308
54,Broadview Heights,19228,1,19186,0,19224.0,11.0,19318.0,27.0,0.005200748907842729,0.0,0.057220141489804414,0.13976602132725954
52,Berea,18871,8,18805,11,18945.0,9.0,18981.0,19.0,0.042393089926342005,0.05849508109545333,0.047505938242280284,0.10010010010010009
175,Niles,18334,55,18538,53,18667.0,59.0,18848.0,64.0,0.29998909130577067,0.2858992340058259,0.3160657845395618,0.3395585738539898
69,Defiance,18083,13,16697,25,16698.0,28.0,16772.0,31.0,0.07189072609633358,0.1497274959573576,0.1676847526649898,0.18483186262818985
111,Eastlake,18056,14,18166,10,18261.0,11.0,18381.0,14.0,0.07753655294638902,0.05504789166574921,0.06023766496905975,0.07616560578858604
140,Springboro,17359,10,17119,11,16933.0,12.0,16722.0,12.0,0.05760700501180944,0.06425608972486711,0.0708675367625347,0.07176175098672408
171,North Canton,17348,12,17435,9,17496.0,20.0,17503.0,14.0,0.06917223887479824,0.051620303986234586,0.11431184270690445,0.07998628806490315
68,Defiance,16594,26,16697,25,16698.0,28.0,16772.0,31.0,0.1566831384837893,0.1497274959573576,0.1676847526649898,0.18483186262818985
109,Mount Vernon,16553,22,16685,17,16727.0,37.0,16740.0,32.0,0.13290642179665318,0.10188792328438717,0.2211992586835655,0.19115890083632017
164,Fremont,16241,31,16215,32,16380.0,46.0,16377.0,24.0,0.19087494612400716,0.19734813444341662,0.28083028083028083,0.14654698662758747
153,Aurora,15932,3,15897,11,15783.0,6.0,15586.0,9.0,0.01883002761737384,0.06919544568157514,0.038015586390420075,0.057744129346849735
35,Goshen,15860,7,15787,6,,,15626.0,11.0,0.044136191677175286,0.03800595426616837,,0.07039549468833994
50,Bay Village,15327,2,15346,2,15387.0,7.0,15435.0,3.0,0.013048868010700073,0.013032712107389547,0.04549294859296809,0.019436345966958212
87,Washington Court House,14136,41,13986,37,14060.0,42.0,14072.0,31.0,0.29003961516694965,0.26455026455026454,0.29871977240398295,0.22029562251279136
151,Circleville,13972,57,13930,37,13482.0,39.0,13469.0,34.0,0.4079587746922416,0.2656137832017229,0.2892745883400089,0.25243150939193704
89,Bexley,13773,20,13775,26,13634.0,16.0,13543.0,15.0,0.14521164597400713,0.18874773139745915,0.11735367463693706,0.11075832533412094
59,Lyndhurst,13586,18,13624,14,13672.0,9.0,13744.0,6.0,0.1324893272486383,0.10275983558426305,0.06582796957284962,0.043655413271245634
