,County,City,POPULATION,VIOLENT CRIME,MURDER,FORCIBLE RAPE,ROBBERY,AGG ASSAULT
10,Allen County,Lima,38691.0,466.0,6.0,51.0,101.0,308.0
11,Allen County,Bluffton,3945.0,5.0,,1.0,1.0,3.0
12,Allen County,Delphos,3929.0,3.0,,2.0,1.0,
14,Allen County,Spencerville,2218.0,,,,,
15,Allen County,Elida,1900.0,,,,,
22,Ashland County,Ashland,20366.0,19.0,,9.0,3.0,7.0
23,Ashland County,Loudonville,2587.0,3.0,,,1.0,2.0
26,Ashtabula County,Conneaut,12823.0,21.0,,,6.0,15.0
27,Ashtabula County,Geneva,1286.0,5.0,,2.0,,3.0
28,Ashtabula County,Roaming Shores,1507.0,1.0,,,1.0,
29,Ashtabula County,Ashtabula,51589.0,65.0,2.0,10.0,10.0,43.0
31,Athens County,Athens,23834.0,15.0,,1.0,8.0,6.0
32,Athens County,Glouster,1791.0,2.0,,,2.0,
33,Athens County,Nelsonville,5393.0,3.0,,,2.0,1.0
34,Athens County,Albany,829.0,,,,,
37,Athens County,Coolville,495.0,,,,,
40,Auglaize County,Wapakoneta,9842.0,11.0,,,2.0,9.0
45,Belmont County,Barnesville,4178.0,,,,,
48,Belmont County,Martins Ferry,6890.0,3.0,,,,3.0
49,Belmont County,Powhatan Point,1586.0,2.0,,,,2.0
51,Belmont County,Saint Clairsville,5166.0,2.0,,1.0,,1.0
56,Brown County,Georgetown,4470.0,4.0,,,1.0,3.0
58,Brown County,Sardinia,976.0,,,,,
79,Carroll County,Carrollton,3242.0,10.0,,,,10.0
89,Clark County,Springfield,60329.0,373.0,5.0,38.0,178.0,152.0
90,Clark County,Enon,2404.0,,,,,
91,Clark County,South Charleston,1685.0,,,,,
93,Clark County,South Vienna,381.0,,,,,
97,Clermont County,Batavia,1524.0,2.0,,2.0,,
98,Clermont County,Bethel,2735.0,2.0,,1.0,,1.0
99,Clermont County,Milford,6739.0,16.0,,,3.0,13.0
100,Clermont County,Amelia,4844.0,1.0,,,,1.0
101,Clermont County,Felicity,825.0,,,,,
102,Clermont County,New Richmond,2605.0,1.0,,1.0,,
105,Clermont County,Williamsburg,2512.0,,,,,
106,Clermont County,Goshen,15644.0,6.0,,5.0,,1.0
110,Clermont County,Loveland,1958.0,,,,,
113,Clinton County,Blanchester,4231.0,1.0,,,,1.0
114,Clinton County,New Vienna,1220.0,,,,,
115,Clinton County,Sabina,2557.0,2.0,,,1.0,1.0
116,Clinton County,Wilmington,12487.0,8.0,,3.0,3.0,2.0
119,Columbiana County,East Liverpool,11198.0,9.0,,3.0,3.0,3.0
120,Columbiana County,East Palestine,4708.0,3.0,,,1.0,2.0
121,Columbiana County,Salem,12265.0,4.0,,1.0,1.0,2.0
129,Coshocton County,West Lafayette,2323.0,,,,,
137,Cuyahoga County,Cleveland,393781.0,5469.0,85.0,373.0,3257.0,1754.0
139,Cuyahoga County,Bay Village,15527.0,,,,,
141,Cuyahoga County,Bedford,12971.0,29.0,,1.0,14.0,14.0
143,Cuyahoga County,Berea,18959.0,7.0,,,1.0,6.0
145,Cuyahoga County,Brecksville,13554.0,4.0,,,,4.0
146,Cuyahoga County,Broadview Heights,19246.0,4.0,,,,4.0
148,Cuyahoga County,Brook Park,19062.0,10.0,,3.0,2.0,5.0
150,Cuyahoga County,Cleveland Heights,45761.0,168.0,,10.0,110.0,48.0
152,Cuyahoga County,Euclid,48538.0,92.0,,12.0,34.0,46.0
153,Cuyahoga County,Garfield Heights,28623.0,78.0,6.0,9.0,33.0,30.0
154,Cuyahoga County,Gates Mills,2251.0,1.0,,1.0,,
159,Cuyahoga County,Lakewood,51721.0,65.0,3.0,3.0,34.0,25.0
160,Cuyahoga County,Lyndhurst,13892.0,1.0,,1.0,,
164,Cuyahoga County,North Olmsted,32461.0,21.0,,3.0,6.0,12.0
166,Cuyahoga County,Olmsted Falls,8953.0,11.0,,,3.0,8.0
168,Cuyahoga County,Parma,80963.0,58.0,,4.0,15.0,39.0
169,Cuyahoga County,Parma Heights,20557.0,33.0,,13.0,8.0,12.0
171,Cuyahoga County,Richmond Heights,10464.0,15.0,,2.0,10.0,3.0
172,Cuyahoga County,Seven Hills,11718.0,2.0,,1.0,,1.0
173,Cuyahoga County,Shaker Heights,28224.0,34.0,,4.0,28.0,2.0
174,Cuyahoga County,Solon,23165.0,7.0,,,1.0,6.0
175,Cuyahoga County,South Euclid,22125.0,34.0,2.0,4.0,24.0,4.0
176,Cuyahoga County,Strongsville,44397.0,13.0,,6.0,5.0,2.0
181,Cuyahoga County,Westlake,32477.0,,,,,
189,Darke County,Arcanum,2123.0,2.0,,1.0,,1.0
193,3318,Defiance,16621.0,26.0,,12.0,4.0,10.0
194,10615,Hicksville,3568.0,1.0,,,,1.0
199,Delaware County,Powell,11776.0,,,,,
206,Erie County,Huron,7118.0,15.0,,1.0,,14.0
207,Erie County,Sandusky,25680.0,80.0,5.0,11.0,26.0,38.0
210,Erie County,Berlin Heights,711.0,,,,,
211,Erie County,Milan,1001.0,,,,,
216,Fairfield County,Lancaster,39024.0,92.0,2.0,21.0,39.0,30.0
217,Fairfield County,Baltimore,2985.0,1.0,,,,1.0
218,Fairfield County,Carroll,526.0,,,,,
219,Fairfield County,Lithopolis,1080.0,,,,,
220,Fairfield County,Millersport,1050.0,,,,,
221,Fairfield County,Pickerington,18320.0,,,,,
222,Fairfield County,Sugar Grove,428.0,,,,,
226,Fayette County,Washington Court House,14168.0,20.0,,4.0,5.0,11.0
229,Franklin County,Columbus,780239.0,4703.0,69.0,577.0,2965.0,1092.0
233,Franklin County,Bexley,13220.0,14.0,,1.0,11.0,2.0
234,Franklin County,Dublin,35840.0,14.0,1.0,1.0,7.0,5.0
235,Franklin County,Gahanna,33692.0,23.0,1.0,9.0,5.0,8.0
236,Franklin County,Grandview Heights,6625.0,1.0,,,1.0,
237,Franklin County,Grove City,36050.0,38.0,1.0,12.0,21.0,4.0
238,Franklin County,Hilliard,28814.0,20.0,,1.0,15.0,4.0
239,Franklin County,Reynoldsburg,26509.0,65.0,2.0,5.0,42.0,16.0
240,Franklin County,Upper Arlington,34221.0,9.0,,,8.0,1.0
241,Franklin County,Westerville,28689.0,10.0,,2.0,7.0,1.0
242,Franklin County,Whitehall,18305.0,164.0,1.0,13.0,107.0,43.0
243,Franklin County,Worthington,13754.0,4.0,,,2.0,2.0
245,Franklin County,Groveport,5435.0,2.0,,,1.0,1.0
248,Franklin County,New Albany,7808.0,2.0,,,,2.0
261,Fulton County,Delta,3088.0,,,,,
263,Fulton County,Swanton,3565.0,,,,,
264,Fulton County,Wauseon,7301.0,6.0,,2.0,1.0,3.0
273,Geauga County,Chardon,5139.0,12.0,3.0,,1.0,8.0
274,Geauga County,Burton,1453.0,,,,,
275,Geauga County,Middlefield,2690.0,,,,,
282,Greene County,Xenia,25923.0,60.0,,14.0,20.0,26.0
283,Greene County,Yellow Springs,3516.0,3.0,,,1.0,2.0
284,Greene County,Bellbrook,7001.0,3.0,,1.0,1.0,1.0
286,Greene County,Beavercreek,45563.0,25.0,,6.0,13.0,6.0
294,Guernsey County,Cambridge,10592.0,62.0,1.0,8.0,13.0,40.0
297,Hamilton County,Cincinnati,296204.0,2903.0,47.0,199.0,1726.0,931.0
302,Hamilton County,Blue Ash,12082.0,7.0,,,3.0,4.0
304,Hamilton County,Cleves,3225.0,1.0,,,,1.0
305,Hamilton County,Deer Park,5723.0,11.0,,1.0,2.0,8.0
309,Hamilton County,Forest Park,18672.0,28.0,1.0,4.0,23.0,
311,Hamilton County,Greenhills,3605.0,1.0,,,,1.0
312,Hamilton County,Harrison,9870.0,8.0,,1.0,4.0,3.0
