County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
#N/A,#N/A,11,OH02538,OHIO DEPT OF NATURAL RESOURCES,,,48,,,,
#N/A,#N/A,12,OH02547,OHIO INVESTIGATIVE,,,,,,,
#N/A,#N/A,12,OHOHP00,OHIO STATE HGHWAY,,443,339,5,60,13,365
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,9,OH00101,MANCHESTER,"1,996",2,12,,,,2
#N/A,#N/A,8,OH00102,PEEBLES,"1,775",1,6,,,,1
#N/A,#N/A,8,OH00103,WEST UNION,"3,211",2,28,,,,2
#N/A,#N/A,8,OH00106,SEAMAN,930,,6,,,,
#N/A,#N/A,4,OH00107,WINCHESTER,"1,042",1,3,,1,,
#N/A,#N/A,12,OH00100,ADAMS COUNTY SHERIFF,"19,377",10,310,,2,,8
#N/A,#N/A,,,,,,,,,,
Allen County,Lima,12,OH00204,LIMA,"38,214",366,"1,932",3,42,78,243
Allen County,Bluffton,12*,OH00201,BLUFFTON,"3,824",1,50,,,,1
Allen County,Delphos,12*,OH00202,DELPHOS,"3,917",1,98,,1,,
Allen County,Spencerville,12,OH00205,SPENCERVILLE,"2,198",1,42,,,,1
Allen County,Elida,7,OH00207,ELIDA,"1,859",,4,,,,
#N/A,#N/A,12,OH00211,SHAWNEE TOWNSHIP,"12,247",,163,,,,
#N/A,#N/A,12,OH00213,AMERICAN TOWNSHIP,"12,318",3,153,,1,1,1
#N/A,#N/A,11,OH00214,PERRY TOWNSHIP,"3,479",,32,,,,
#N/A,#N/A,1,OH00216,MARION TOWNSHIP,"2,805",,,,,,
#N/A,#N/A,12,OH00200,ALLEN COUNTY SHERIFF,"24,141",26,"1,025",,6,7,13
#N/A,#N/A,,,,,,,,,,
Ashland County,Ashland,12,OH00301,ASHLAND,"20,306",14,519,,10,3,1
Ashland County,Loudonville,12*,OH00302,LOUDONVILLE,"2,557",,42,,,,
#N/A,#N/A,12,OH00303,PERRYSVILLE,719,,21,,,,
Ashland County,Ashland,12,OH00300,ASHLAND COUNTY SHERIFF,"29,288",9,303,,7,,2
#N/A,#N/A,,,,,,,,,,
Ashtabula County,Conneaut,12,OH00402,CONNEAUT,"12,895",10,284,,,3,7
Ashtabula County,Geneva,4,OH00405,GENEVA-ON-THE-LAKE,"1,265",,,,,,
Ashtabula County,Kingsville,6,OH00407,NORTH KINGSVILLE,"2,881",1,1,,,,1
Ashtabula County,Roaming Shores,11,OH00410,ROAMING SHORES VILLAGE,"1,491",,13,,,,
Ashtabula County,Ashtabula,12,OH00400,ASHTABULA COUNTY SHERIFF,"51,042",40,"1,045",1,4,7,28
#N/A,#N/A,,,,,,,,,,
Athens County,Athens,12,OH00501,ATHENS,"23,721",17,406,,3,3,11
Athens County,Glouster,12,OH00502,GLOUSTER,"1,765",5,49,1,,1,3
Athens County,Nelsonville,12,OH00503,NELSONVILLE,"5,334",13,203,,2,2,9
Athens County,Albany,12,OH00504,ALBANY,877,,22,,,,
#N/A,#N/A,01*,OH00506,BUCHTEL,535,,1,,,,
#N/A,#N/A,1,OH00508,JACKSONVILLE,473,,,,,,
#N/A,#N/A,12,OH00510,OHIO UNIVERSITY,,5,189,,3,2,
