,County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
11,Allen County,Lima,12,OH00204,LIMA,"38,214",366,"1,932",3.0,42,78,243
12,Allen County,Bluffton,12*,OH00201,BLUFFTON,"3,824",1,50,,,,1
13,Allen County,Delphos,12*,OH00202,DELPHOS,"3,917",1,98,,1,,
14,Allen County,Spencerville,12,OH00205,SPENCERVILLE,"2,198",1,42,,,,1
15,Allen County,Elida,7,OH00207,ELIDA,"1,859",,4,,,,
22,Ashland County,Ashland,12,OH00301,ASHLAND,"20,306",14,519,,10,3,1
23,Ashland County,Loudonville,12*,OH00302,LOUDONVILLE,"2,557",,42,,,,
25,Ashland County,Ashland,12,OH00300,ASHLAND COUNTY SHERIFF,"29,288",9,303,,7,,2
27,Ashtabula County,Conneaut,12,OH00402,CONNEAUT,"12,895",10,284,,,3,7
28,Ashtabula County,Geneva,4,OH00405,GENEVA-ON-THE-LAKE,"1,265",,,,,,
29,Ashtabula County,Kingsville,6,OH00407,NORTH KINGSVILLE,"2,881",1,1,,,,1
30,Ashtabula County,Roaming Shores,11,OH00410,ROAMING SHORES VILLAGE,"1,491",,13,,,,
31,Ashtabula County,Ashtabula,12,OH00400,ASHTABULA COUNTY SHERIFF,"51,042",40,"1,045",1.0,4,7,28
33,Athens County,Athens,12,OH00501,ATHENS,"23,721",17,406,,3,3,11
34,Athens County,Glouster,12,OH00502,GLOUSTER,"1,765",5,49,1.0,,1,3
35,Athens County,Nelsonville,12,OH00503,NELSONVILLE,"5,334",13,203,,2,2,9
36,Athens County,Albany,12,OH00504,ALBANY,877,,22,,,,
40,Athens County,Coolville,1,OH00512,COOLVILLE,488,,1,,,,
41,Athens County,Athens,12,OH00500,ATHENS COUNTY SHERIFF,"31,079",16,580,1.0,8,3,4
43,Auglaize County,Wapakoneta,12,OH00602,WAPAKONETA,"9,812",9,179,,2,,7
45,Auglaize County,New Bremen,12,OH00606,NEW BREMEN,"2,979",3,26,,,,3
48,Belmont County,Barnesville,6,OH00701,BARNESVILLE,"4,130",1,8,,,,1
51,Belmont County,Martins Ferry,12,OH00704,MARTINS FERRY,"6,805",10,70,,4,3,3
52,Belmont County,Powhatan Point,12,OH00705,POWHATAN POINT,"1,574",1,18,,,,1
54,Belmont County,Saint Clairsville,9,OH00707,ST. CLAIRSVILLE,"5,108",,5,,,,
55,Belmont County,Bethesda,1,OH00716,BETHESDA,"1,243",,,,,,
59,Brown County,Georgetown,12,OH00802,GEORGETOWN,"4,458",3,124,,2,,1
60,Brown County,Mount Orab,10,OH00807,MOUNT ORAB,"3,640",1,53,,,,1
62,Brown County,Sardinia,10,OH00809,SARDINIA,963,,7,,,,
66,Butler County,Fairfield,12,OH00901,FAIRFIELD,"42,677",120,"1,100",1.0,12,37,70
67,Butler County,Hamilton,12,OH00902,HAMILTON,"62,268",378,"3,925",6.0,52,189,131
68,Butler County,Middletown,12*,OH00903,MIDDLETOWN,"45,971",285,"3,752",,37,71,177
69,Butler County,Monroe,12*,OH00905,MONROE,"15,157",61,622,,8,5,48
71,Butler County,Oxford,12,OH00907,OXFORD,"21,338",47,578,,3,9,35
73,Butler County,West Chester,12,OH00915,WEST CHESTER TOWNSHIP,"59,435",43,"1,410",1.0,11,15,16
81,Carroll County,Carrollton,5,OH01001,CARROLLTON,"3,214",3,,,,,3
91,Clark County,Springfield,12,OH01202,SPRINGFIELD,"60,012",427,"4,463",6.0,46,208,167
92,Clark County,Enon,5,OH01206,ENON,"2,421",2,4,,,,2
93,Clark County,South Charleston,12,OH01209,SOUTH CHARLESTON,"1,675",,28,,,,
95,Clark County,South Vienna,10,OH01211,SOUTH VIENNA,381,,16,,,,
99,Clermont County,Batavia,12,OH01301,BATAVIA,"1,633",2,65,,,2,
100,Clermont County,Bethel,12,OH01302,BETHEL,"2,737",2,59,,,,2
101,Clermont County,Milford,12*,OH01303,MILFORD,"6,642",6,350,,,1,5
102,Clermont County,Amelia,12,OH01304,AMELIA,"4,870",1,36,,,1,
103,Clermont County,Felicity,1,OH01306,FELICITY,822,,1,,,,
104,Clermont County,New Richmond,5,OH01310,NEW RICHMOND,"2,603",,8,,,,
105,Clermont County,Williamsburg,12,OH01313,WILLIAMSBURG,"2,514",6,82,,,3,3
106,Clermont County,Goshen,11,OH01314,GOSHEN TOWNSHIP,"15,620",3,49,,2,,1
110,Clermont County,Loveland,12*,OH03120,LOVELAND,"1,959",1,20,,1,,
113,Clinton County,Blanchester,12,OH01401,BLANCHESTER,"4,230",1,58,,,1,
114,Clinton County,New Vienna,6,OH01402,NEW VIENNA,"1,210",,9,,,,
115,Clinton County,Sabina,12,OH01403,SABINA,"2,546",2,78,,1,1,
116,Clinton County,Wilmington,12,OH01404,WILMINGTON,"12,439",27,681,1.0,6,8,12
120,Columbiana County,Columbiana,12*,OH01501,COLUMBIANA,"5,654",4,99,,,,4
121,Columbiana County,East Liverpool,5,OH01502,EAST LIVERPOOL,"11,010",12,167,,6,3,3
122,Columbiana County,East Palestine,12,OH01503,EAST PALESTINE,"4,631",6,117,,2,2,2
