,County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
11,Allen County,Lima,38265.0,353.0,3.0,40.0,71.0,239.0
12,Allen County,Bluffton,4060.0,4.0,,1.0,1.0,2.0
13,Allen County,Delphos,3920.0,2.0,,1.0,1.0,
14,Allen County,Spencerville,2207.0,3.0,,,,3.0
15,Allen County,Elida,1866.0,,,,,
23,Ashland County,Ashland,20293.0,15.0,1.0,11.0,1.0,2.0
24,Ashland County,Loudinville,2559.0,9.0,1.0,3.0,1.0,4.0
28,Ashtabula,Conneaut,12889.0,54.0,1.0,5.0,5.0,43.0
29,Ashtabula County,Geneva,1220.0,5.0,,,,5.0
30,Ashtabula County,Kingsville,2870.0,,,,,
31,Ashtabula County,Roaming Shores,1486.0,1.0,,1.0,,
32,Ashtabula County,Ashtabula,50631.0,37.0,1.0,5.0,9.0,22.0
34,Athens County,Athens,24083.0,27.0,,8.0,2.0,17.0
35,Athens County,Glouster,1775.0,2.0,,1.0,1.0,
36,Athens County,Nelsonville,5348.0,8.0,,1.0,3.0,4.0
37,Athens County,Albany,889.0,1.0,,,,1.0
42,Auglaize County,Wapakoneta,9822.0,7.0,,1.0,,6.0
43,Auglaize County,Minster,2835.0,1.0,,,,1.0
44,Auglaize County,New Bremen,2984.0,1.0,,1.0,,
45,Auglaize County,New Knoxville,873.0,,,,,
48,Belmont County,Barnesville,4129.0,,,,,
51,Belmont County,Martins Ferry,6815.0,17.0,,5.0,1.0,11.0
52,Belmont County,Powhatan Point,1577.0,3.0,,,1.0,2.0
54,Belmont County,Saint Clairsville,5124.0,1.0,,,,1.0
55,Belmont County,Flushing,867.0,,,,,
56,Belmont County,Bethesda,1247.0,,,,,
61,Brown County,Georgetown,4485.0,5.0,,4.0,1.0,
62,Brown County,Mount Orab,3668.0,7.0,,1.0,,6.0
64,Brown County,Sardinia,964.0,,,,,
67,Butler County,Fairfield,42654.0,98.0,1.0,13.0,19.0,65.0
