County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,0,353,2,54,8,289
#N/A,#N/A,1974,10,0,1,0,9
#N/A,#N/A,1764,0,0,0,0,0
#N/A,#N/A,3185,4,0,3,0,1
#N/A,#N/A,924,0,0,0,0,0
#N/A,#N/A,1036,1,0,0,0,1
#N/A,#N/A,19148,10,0,2,1,7
Allen County,Lima,38154,347,2,48,83,214
Allen County,Bluffton,3996,3,0,0,0,3
Allen County,Delphos,3906,1,0,0,0,1
Allen County,Spencerville,2208,3,1,1,0,1
Allen County,Elida,1861,4,0,0,0,4
#N/A,#N/A,12210,8,0,2,5,1
#N/A,#N/A,12300,5,0,0,0,5
#N/A,#N/A,2887,0,0,0,0,0
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,23776,29,0,8,12,9
Ashland County,Ashland,20144,20,0,19,0,1
Ashland County,Loudinville,2560,10,0,2,0,8
#N/A,#N/A,720,0,0,0,0,0
,,29422,10,0,5,2,3
Ashtabula,Conneaut,12809,38,1,0,4,33
Ashtabula,Geneva,1212,4,0,0,0,4
Ashtabula,Roaming Shores,1476,1,0,0,0,1
Ashtabula,Ashtabula,50154,59,0,12,19,28
Athens County,Athens,23960,22,0,4,4,14
Athens County,Glouster,1787,2,0,0,1,1
Athens County,Nelsonville,5170,11,1,3,2,5
Athens County,Albany,909,0,0,0,0,0
#N/A,#N/A,539,0,0,0,0,0
#N/A,#N/A,0,10,0,10,0,0
,,31280,16,2,2,3,9
Auglaize County,Saint Marys,8243,4,0,0,0,4
Auglaize County,Wapakoneta,9807,9,0,3,0,6
Auglaize County,Minster,2836,1,0,0,1,0
Auglaize County,New Bremen,2967,1,0,0,0,1
Auglaize County,New Knoxville,868,0,0,0,0,0
#N/A,#N/A,17981,9,0,5,0,4
Belmont County,Barnesville,4127,5,0,2,0,3
#N/A,#N/A,4191,12,0,0,3,9
#N/A,#N/A,1796,1,0,0,0,1
Belmont County,Martins Ferry,6791,9,0,1,2,6
#N/A,#N/A,1574,2,0,1,1,0
#N/A,#N/A,3716,0,0,0,0,0
#N/A,#N/A,5108,2,0,0,0,2
Belmont County,Flushing,863,0,0,0,0,0
Belmont County,Bethesda,1251,0,0,0,0,0
#N/A,#N/A,453,0,0,0,0,0
#N/A,#N/A,29372,51,3,13,10,25
#N/A,#N/A,1613,0,0,0,0,0
Brown County,Georgetown,4461,7,1,0,0,6
Brown County,Ripley,1728,0,0,0,0,0
Brown County,Mount Orab,3649,4,0,0,1,3
#N/A,#N/A,544,0,0,0,0,0
#N/A,#N/A,30666,23,2,4,3,14
Butler County,Fairfield,42824,91,3,15,26,47
Butler County,Hamilton,62526,355,5,57,163,130
Butler County,Middletown,46102,221,0,31,60,130
Butler County,Monroe,15669,15,0,3,4,8
#N/A,#N/A,2303,0,0,0,0,0
Butler County,Oxford,21816,70,1,4,7,58
#N/A,#N/A,2149,1,0,0,1,0
Butler County,West Chester,60365,76,0,27,17,32
#N/A,#N/A,8619,10,0,5,0,5
#N/A,#N/A,0,17,0,7,1,9
#N/A,#N/A,22163,29,0,8,7,14
#N/A,#N/A,76354,53,1,14,6,32
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,1745,1,0,0,0,1
#N/A,#N/A,261,1,0,0,1,0
#N/A,#N/A,1596,1,0,0,0,1
#N/A,#N/A,11453,15,0,8,2,5
#N/A,#N/A,2021,0,0,0,0,0
#N/A,#N/A,23840,36,2,14,1,19
Clark County,Springfield,59804,355,12,31,163,149
Clark County,Enon,2397,1,0,0,0,1
Clark County,South Charleston,1662,3,0,0,0,3
#N/A,#N/A,370,0,0,0,0,0
Clark County,South Vienna,379,1,0,0,0,1
#N/A,#N/A,6932,2,0,0,2,0
#N/A,#N/A,64349,37,0,11,7,19
Clermont County,Batavia,1652,2,0,1,1,0
Clermont County,Bethel,2778,8,0,0,2,6
Clermont County,Milford,6910,6,0,3,2,1
Clermont County,Amelia,4948,5,0,3,1,1
Clermont County,Felicity,831,3,0,0,1,2
Clermont County,New Richmond,2641,6,0,0,1,5
#N/A,#N/A,395,0,0,0,0,0
#N/A,#N/A,817,0,0,0,0,0
Clermont County,Williamsburg,2550,6,0,2,0,4
#N/A,#N/A,15779,12,0,7,0,5
#N/A,#N/A,42029,20,0,6,4,10
#N/A,#N/A,47835,41,1,16,13,11
#N/A,#N/A,11536,4,0,2,0,2
Clermont County,Loveland,2002,0,0,0,0,0
#N/A,#N/A,59931,103,0,20,4,79
Clinton County,Blanchester,4244,6,0,2,2,2
Clinton County,New Vienna,1202,1,0,1,0,0
Clinton County,Sabina,2537,2,0,0,0,2
Clinton County,Wilmington,12350,25,2,9,6,8
#N/A,#N/A,2,0,0,0,0,0
#N/A,#N/A,21503,2,0,0,0,2
Columbiana County,Columbiana,5645,3,0,0,0,3
Columbiana County,East Palestine,4597,6,0,1,1,4
Columbiana County,Lisbon,2737,7,0,0,3,4
Columbiana County,Salem,12029,17,0,3,0,14
#N/A,#N/A,1277,3,0,0,0,3
Columbiana County,Wellsville,3423,0,0,0,0,0
Columbiana County,New Waterford,1203,0,0,0,0,0
#N/A,#N/A,438,0,0,0,0,0
#N/A,#N/A,7772,1,0,0,1,0
#N/A,#N/A,4460,1,0,0,0,1
#N/A,#N/A,3436,0,0,0,0,0
#N/A,#N/A,2,0,0,0,0,0
#N/A,#N/A,38370,15,1,6,1,7
Coshocton County,West Lafayette,2277,3,0,1,0,2
Coshocton County,Coshocton,34154,35,0,9,4,22
#N/A,#N/A,11878,30,0,7,12,11
#N/A,#N/A,10094,26,0,6,5,15
#N/A,#N/A,932,0,0,0,0,0
#N/A,#N/A,14869,5,0,2,1,2
Cuyahoga County,Cleveland,387921,4506,78,376,2458,1594
#N/A,#N/A,0,2,0,1,0,1
Cuyahoga County,Bay Village,15387,7,0,0,2,5
#N/A,#N/A,11763,2,0,0,2,0
Cuyahoga County,Bedford,12744,26,0,3,11,12
#N/A,#N/A,10659,34,0,7,13,14
#N/A,#N/A,858,0,0,0,0,0
Cuyahoga County,Berea,18945,9,0,0,8,1
Cuyahoga County,Brecksville,13426,6,0,3,0,3
Cuyahoga County,Broadview Heights,19224,11,0,0,0,11
#N/A,#N/A,10897,16,0,3,7,6
#N/A,#N/A,4024,2,0,0,0,2
Cuyahoga County,Cleveland Heights,44942,84,2,6,43,33
#N/A,#N/A,17339,106,3,2,60,41
Cuyahoga County,Euclid,47664,221,3,27,73,118
Cuyahoga County,Garfield Heights,28088,138,0,18,68,52
Cuyahoga County,Gates Mills,2240,0,0,0,0,0
#N/A,#N/A,927,0,0,0,0,0
#N/A,#N/A,8373,3,0,0,3,0
#N/A,#N/A,7139,3,0,0,1,2
Cuyahoga County,Lakewood,50653,19,1,5,8,5
Cuyahoga County,Lyndhurst,13672,9,0,0,3,6
#N/A,#N/A,18780,14,0,0,6,8
#N/A,#N/A,3304,0,0,0,0,0
Cuyahoga County,North Olmsted,31999,4,0,0,4,0
#N/A,#N/A,13244,9,0,2,3,4
Cuyahoga County,Olmsted Falls,8851,3,0,0,0,3
Cuyahoga County,Parma,79655,79,0,20,39,20
Cuyahoga County,Parma Heights,20241,4,0,2,1,1
#N/A,#N/A,6264,6,0,0,1,5
Cuyahoga County,Richmond Heights,10481,14,1,0,7,6
Cuyahoga County,Seven Hills,11678,4,0,0,1,3
Cuyahoga County,Shaker Heights,27641,11,0,1,6,4
Cuyahoga County,Solon,23014,13,1,2,2,8
Cuyahoga County,South Euclid,21772,37,1,5,20,11
Cuyahoga County,Strongsville,44638,35,0,1,15,19
#N/A,#N/A,13126,21,0,5,9,7
#N/A,#N/A,2010,7,0,2,3,2
#N/A,#N/A,2242,3,0,0,0,3
Cuyahoga County,Westlake,32358,16,0,1,8,7
#N/A,#N/A,864,1,0,0,1,0
#N/A,#N/A,177,0,0,0,0,0
#N/A,#N/A,0,13,0,1,6,6
#N/A,#N/A,0,4,0,1,2,1
#N/A,#N/A,12990,30,0,8,6,16
Darke County,Union City,1635,0,0,0,0,0
#N/A,#N/A,33291,13,0,2,0,11
Defiance County,Defiance,16698,28,0,16,4,8
#N/A,#N/A,3448,1,0,0,0,1
#N/A,#N/A,18232,15,0,12,0,3
#N/A,#N/A,7872,43,1,8,20,14
#N/A,#N/A,38035,61,0,37,13,11
Delaware County,Powell,12759,6,0,0,2,4
#N/A,#N/A,741,1,0,1,0,0
#N/A,#N/A,5037,2,0,1,1,0
#N/A,#N/A,4389,3,0,1,1,1
#N/A,#N/A,8234,4,0,2,2,0
#N/A,#N/A,89219,41,1,21,10,9
#N/A,#N/A,0,0,0,0,0,0
Erie County,Sandusky,25213,55,0,8,27,20
#N/A,#N/A,4644,3,0,1,0,2
#N/A,#N/A,612,1,0,0,0,1
#N/A,#N/A,690,0,0,0,0,0
Erie County,Milan,984,1,0,1,0,0
#N/A,#N/A,11872,5,1,0,4,0
#N/A,#N/A,0,1,0,0,0,1
#N/A,#N/A,2,0,0,0,0,0
#N/A,#N/A,24215,5,0,0,0,5
#N/A,#N/A,10161,57,1,11,27,18
Fairfield County,Lancaster,39793,99,1,23,31,44
Fairfield County,Baltimore,2961,2,0,0,1,1
Fairfield County,Carroll,520,0,0,0,0,0
Fairfield County,Lithopolis,1287,0,0,0,0,0
Fairfield County,Millersport,1049,0,0,0,0,0
#N/A,#N/A,921,0,0,0,0,0
#N/A,#N/A,74709,54,0,17,11,26
Fayette County,Washington Court House,14060,42,0,14,10,18
#N/A,#N/A,14697,42,0,14,7,21
Franklin County,Columbus,829712,4658,81,873,2217,1487
#N/A,#N/A,48,0,0,0,0,0
#N/A,#N/A,0,2,0,2,0,0
Franklin County,Bexley,13634,16,0,0,15,1
Franklin County,Dublin,38074,21,0,7,8,6
Franklin County,Gahanna,34508,23,0,10,8,5
Franklin County,Grandview Heights,7438,9,0,3,5,1
Franklin County,Grove City,39251,47,0,14,27,6
Franklin County,Reynoldsburg,27084,6,0,2,2,2
Franklin County,Upper Arlington,34838,10,0,2,7,1
Franklin County,Westerville,27775,14,0,8,6,0
#N/A,#N/A,18661,153,10,22,91,30
Franklin County,Worthington,14594,1,0,0,1,0
#N/A,#N/A,121,1,0,0,1,0
#N/A,#N/A,0,0,0,0,0,0
Franklin County,Groveport,5751,4,0,0,2,2
#N/A,#N/A,334,1,0,0,1,0
#N/A,#N/A,1314,1,0,0,0,1
Franklin County,New Albany,9531,5,0,1,1,3
#N/A,#N/A,4746,2,0,1,1,0
#N/A,#N/A,0,25,0,16,4,5
#N/A,#N/A,8081,4,0,0,2,2
#N/A,#N/A,4104,21,0,0,14,7
#N/A,#N/A,9822,0,0,0,0,0
#N/A,#N/A,2609,2,1,0,1,0
#N/A,#N/A,3761,1,0,1,0,0
#N/A,#N/A,18260,17,0,2,7,8
#N/A,#N/A,2432,1,0,0,0,1
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,57988,27,0,2,8,17
Fulton County,Archbold,4345,3,0,1,0,2
Fulton County,Fayette,1270,0,0,0,0,0
Fulton County,Swanton,3763,4,0,0,0,4
Fulton County,Wauseon,7316,10,1,3,2,4
#N/A,#N/A,22765,18,0,8,0,10
#N/A,#N/A,3598,12,0,3,2,7
#N/A,#N/A,815,5,0,1,0,4
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,25702,20,0,2,2,16
Geauga County,Chardon,5195,4,0,0,0,4
Geauga County,Burton,1466,2,0,0,1,1
Geauga County,Middlefield,2711,3,0,0,1,2
#N/A,#N/A,3846,0,0,0,0,0
#N/A,#N/A,5262,1,0,0,0,1
Geauga County,Chesterland,10393,1,0,0,1,0
#N/A,#N/A,11566,0,0,0,0,0
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,53992,13,0,7,3,3
#N/A,#N/A,33423,73,1,23,25,24
Greene County,Xenia,25970,58,0,21,20,17
Greene County,Yellow Springs,3539,4,0,1,0,3
Greene County,Bellbrook,7052,1,0,0,1,0
Greene County,Jamestown,2019,5,0,2,0,3
Greene County,Beavercreek,46112,41,0,11,22,8
#N/A,#N/A,0,8,0,4,3,1
#N/A,#N/A,8212,4,0,2,0,2
#N/A,#N/A,0,1,0,0,0,1
#N/A,#N/A,2,0,0,0,0,0
#N/A,#N/A,468,0,0,0,0,0
#N/A,#N/A,33468,24,0,8,3,13
Guernsey County,Cambridge,10436,27,0,3,8,16
Guernsey County,Byesville,2391,0,0,0,0,0
Hamilton County,Cincinnati,298478,2788,67,255,1266,1200
#N/A,#N/A,29,0,0,0,0,0
#N/A,#N/A,3602,0,0,0,0,0
Hamilton County,Blue Ash,12159,23,0,8,12,3
#N/A,#N/A,8314,18,0,0,14,4
Hamilton County,Deer Park,5696,11,1,0,2,8
#N/A,#N/A,29630,18,0,5,8,5
#N/A,#N/A,2170,6,0,3,2,1
#N/A,#N/A,2774,9,0,0,1,8
#N/A,#N/A,1705,2,0,0,1,1
Hamilton County,Forest Park,18726,57,0,15,21,21
#N/A,#N/A,2158,0,0,0,0,0
Hamilton County,Greenhills,3592,2,0,0,0,2
Hamilton County,Harrison,10618,2,0,0,1,1
#N/A,#N/A,5814,1,0,0,1,0
#N/A,#N/A,3428,25,0,2,7,16
#N/A,#N/A,9685,2,0,1,0,1
#N/A,#N/A,3383,0,0,0,0,0
Hamilton County,Montgomery,10488,10,0,3,5,2
#N/A,#N/A,6053,40,0,4,20,16
#N/A,#N/A,2673,1,0,0,0,1
#N/A,#N/A,9355,32,0,1,19,12
