,County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
10,Allen County,Lima,12,OH00204,LIMA,"38,154",347,2.0,48.0,83,214
11,Allen County,Bluffton,12*,OH00201,BLUFFTON,"3,996",3,0.0,0.0,0,3
12,Allen County,Delphos,12*,OH00202,DELPHOS,"3,906",1,0.0,0.0,0,1
13,Allen County,Spencerville,12,OH00205,SPENCERVILLE,"2,208",3,1.0,1.0,0,1
14,Allen County,Elida,10,OH00207,ELIDA,"1,861",4,0.0,0.0,0,4
20,Ashland County,Ashland,12,OH00301,ASHLAND,"20,144",20,0.0,19.0,0,1
21,Ashland County,Loudinville,12*,OH00302,LOUDONVILLE,"2,560",10,0.0,2.0,0,8
23,Ashland County,Ashland,12,OH00300,ASHLAND,"29,422",10,0.0,5.0,2,3
24,Ashtabula,Conneaut,8,OH00402,CONNEAUT,"12,809",38,1.0,0.0,4,33
25,Ashtabula,Geneva,12,OH00405,GENEVA-ON-THE-LAKE,"1,212",4,0.0,0.0,0,4
26,Ashtabula,Roaming Shores,8,OH00410,ROAMING SHORES VILL,"1,476",1,0.0,0.0,0,1
27,Ashtabula,Ashtabula,12,OH00400,ASHTABULA,"50,154",59,0.0,12.0,19,28
28,Athens County,Athens,12,OH00501,ATHENS,"23,960",22,0.0,4.0,4,14
29,Athens County,Glouster,12,OH00502,GLOUSTER,"1,787",2,0.0,0.0,1,1
30,Athens County,Nelsonville,12,OH00503,NELSONVILLE,"5,170",11,1.0,3.0,2,5
31,Athens County,Albany,11,OH00504,ALBANY,909,0,0.0,0.0,0,0
34,Athens County,Athens,12,OH00500,ATHENS COUNTY SHERIFF,"31,280",16,2.0,2.0,3,9
35,Auglaize County,Saint Marys,10,OH00601,ST. MARYS,"8,243",4,0.0,0.0,0,4
36,Auglaize County,Wapakoneta,12,OH00602,WAPAKONETA,"9,807",9,0.0,3.0,0,6
37,Auglaize County,Minster,12,OH00605,MINSTER,"2,836",1,0.0,0.0,1,0
38,Auglaize County,New Bremen,10,OH00606,NEW BREMEN,"2,967",1,0.0,0.0,0,1
39,Auglaize County,New Knoxville,3,OH00607,NEW KNOXVILLE,868,0,0.0,0.0,0,0
41,Belmont County,Barnesville,12,OH00701,BARNESVILLE,"4,127",5,0.0,2.0,0,3
44,Belmont County,Martins Ferry,12,OH00704,MARTINS FERRY,"6,791",9,0.0,1.0,2,6
48,Belmont County,Flushing,1,OH00711,FLUSHING,863,0,0.0,0.0,0,0
49,Belmont County,Bethesda,4,OH00716,BETHESDA,"1,251",0,0.0,0.0,0,0
53,Brown County,Georgetown,12,OH00802,GEORGETOWN,"4,461",7,1.0,0.0,0,6
54,Brown County,Ripley,1,OH00803,RIPLEY,"1,728",0,0.0,0.0,0,0
55,Brown County,Mount Orab,12,OH00807,MOUNT ORAB,"3,649",4,0.0,0.0,1,3
58,Butler County,Fairfield,12,OH00901,FAIRFIELD,"42,824",91,3.0,15.0,26,47
59,Butler County,Hamilton,12,OH00902,HAMILTON,"62,526",355,5.0,57.0,163,130
60,Butler County,Middletown,12*,OH00903,MIDDLETOWN,"46,102",221,0.0,31.0,60,130
61,Butler County,Monroe,12*,OH00905,MONROE,"15,669",15,0.0,3.0,4,8
