County,City,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
#N/A,#N/A,,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OHIO DEPARTMENT OF NATURAL RESOURCES,0,2,17,0,0,1,1,2,15,0,1
#N/A,#N/A,OHIO STATE HGHWAY PATROL ,0,291,233,1,35,4,251,12,179,42,2
#N/A,#N/A,MANCHESTER,"1,967",3,31,0,1,2,0,12,18,1,0
#N/A,#N/A,PEEBLES,"1,758",3,6,0,0,1,2,4,2,0,0
#N/A,#N/A,WEST UNION,"3,167",5,44,0,0,0,5,15,23,6,0
#N/A,#N/A,SEAMAN,920,0,19,0,0,0,0,9,9,1,0
#N/A,#N/A,WINCHESTER,"1,032",0,3,0,0,0,0,2,1,0,1
#N/A,#N/A,ADAMS COUNTY SHERIFF,"19,039",6,157,0,3,0,3,57,83,17,1
Allen County,Lima,LIMA,"37,715",356,"2,259",8,44,123,181,602,"1,540",117,22
Allen County,Bluffton,BLUFFTON,"3,953",1,78,0,0,1,0,15,59,4,0
Allen County,Delphos,DELPHOS,"3,884",2,83,0,1,0,1,13,69,1,0
Allen County,Spencerville,SPENCERVILLE,"2,195",1,28,0,0,0,1,5,23,0,1
Allen County,Elida,ELIDA,"1,852",0,16,0,0,0,0,3,12,1,0
#N/A,#N/A,SHAWNEE TOWNSHIP,"12,173",7,144,0,4,0,3,40,99,5,0
#N/A,#N/A,AMERICAN TOWNSHIP,"12,254",6,167,0,0,3,3,10,152,5,0
#N/A,#N/A,MARION TOWNSHIP,"2,910",0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,ALLEN COUNTY SHERIFF,"23,534",27,870,0,6,14,7,205,639,26,3
Ashland County,Ashland,ASHLAND,"20,278",24,405,2,14,1,7,73,325,7,1
Ashland County,Loudonville,LOUDONVILLE,"2,561",14,46,0,7,0,7,4,41,1,0
