,County,City,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
9,Allen County,Lima,LIMA,"37,715",356,"2,259",8,44,123,181,602,"1,540",117,22
10,Allen County,Bluffton,BLUFFTON,"3,953",1,78,0,0,1,0,15,59,4,0
11,Allen County,Delphos,DELPHOS,"3,884",2,83,0,1,0,1,13,69,1,0
12,Allen County,Spencerville,SPENCERVILLE,"2,195",1,28,0,0,0,1,5,23,0,1
13,Allen County,Elida,ELIDA,"1,852",0,16,0,0,0,0,3,12,1,0
18,Ashland County,Ashland,ASHLAND,"20,278",24,405,2,14,1,7,73,325,7,1
19,Ashland County,Loudonville,LOUDONVILLE,"2,561",14,46,0,7,0,7,4,41,1,0
20,Ashland County,Ashland,ASHLAND COUNTY SHERIFF,"29,425",31,190,1,15,4,11,63,116,11,0
21,Ashtabula County,Geneva,GENEVA-ON-THE-LAKE,"1,207",7,27,1,2,0,4,9,17,1,0
22,Ashtabula County,Roaming Shores,ROAMING SHORES VILLAGE,"1,471",0,2,0,0,0,0,0,2,0,0
23,Ashtabula County,Ashtabula,ASHTABULA COUNTY SHERIFF,"49,784",54,640,1,10,14,29,172,438,30,4
24,Athens County,Athens,ATHENS,"25,203",27,462,0,6,8,13,47,404,11,1
25,Athens County,Glouster,GLOUSTER,"1,798",3,39,0,2,0,1,15,23,1,2
26,Athens County,Nelsonville,NELSONVILLE,"5,159",11,195,0,1,7,3,34,148,13,1
27,Athens County,Albany,ALBANY,918,0,20,0,0,0,0,6,13,1,0
29,Athens County,Athens,ATHENS COUNTY SHERIFF,"31,340",19,458,0,5,3,11,145,284,29,1
30,Auglaize County,Saint Marys,ST. MARYS,"8,256",5,130,0,0,2,3,29,98,3,1
31,Auglaize County,Wapakoneta,WAPAKONETA,"9,815",10,144,0,3,0,7,20,121,3,0
32,Auglaize County,Minster,MINSTER,"2,853",0,9,0,0,0,0,2,5,2,0
33,Auglaize County,New Bremen,NEW BREMEN,"2,961",0,16,0,0,0,0,1,15,0,0
