County,City,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
#N/A,#N/A,OH02538,OHIO DEPT OF NATURAL RESOURCES,0,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OHOHP00,OHIO STATE HGHWAY PATROL,0,280,209,3,42,6,229,3,157,49,4
#N/A,#N/A,OH00102,PEEBLES,"1,746",3,3,0,0,0,3,1,1,1,0
#N/A,#N/A,OH00103,WEST UNION,"3,168",6,19,0,0,0,6,1,13,5,0
#N/A,#N/A,OH00106,SEAMAN,907,0,9,0,0,0,0,4,3,2,0
#N/A,#N/A,OH00107,WINCHESTER,"1,025",0,9,0,0,0,0,2,6,1,0
#N/A,#N/A,OH00100,ADAMS COUNTY SHERIFF,"21,026",13,178,2,4,1,6,71,94,13,0
Allen County,Lima,OH00204,LIMA,"37,220",275,"1,982",5,52,81,137,569,"1,334",79,20
Allen County,Bluffton,OH00201,BLUFFTON,"3,987",1,46,0,1,0,0,9,36,1,0
Allen County,Delphos,OH00202,DELPHOS,"3,927",3,90,0,3,0,0,17,72,1,0
Allen County,Spencerville,OH00205,SPENCERVILLE,"2,184",0,14,0,0,0,0,5,9,0,0
Allen County,Elida,OH00207,ELIDA,"1,836",1,4,0,0,0,1,1,3,0,0
Allen County,Fort Shawnee,OH00211,SHAWNEE TOWNSHIP,"12,096",14,135,1,4,3,6,24,108,3,0
#N/A,#N/A,OH00213,AMERICAN TOWNSHIP,"12,208",1,209,0,0,0,1,15,183,11,0
#N/A,#N/A,OH00216,MARION TOWNSHIP,"2,916",0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,OH00200,ALLEN COUNTY SHERIFF,"23,798",30,659,0,12,12,6,162,481,16,3
Ashland County,Ashland,OH00301,ASHLAND,"20,485",25,375,0,7,4,14,44,326,5,0
Ashland County,Loudonville,OH00302,LOUDONVILLE,"2,581",3,66,1,1,1,0,6,59,1,1
Ashland County,Ashland,OH00300,ASHLAND,"29,919",35,204,0,20,0,15,50,137,17,1
Ashtabula County,Geneva,OH00405,GENEVA-ON-THE-LAKE,"1,199",7,33,0,3,1,3,7,24,2,0
Ashtabula County,Roaming Shores,OH00410,ROAMING SHORES VILLAGE,"1,466",0,1,0,0,0,0,1,0,0,0
Ashtabula County,Ashtabula,OH00400,ASHTABULA COUNTY SHERIFF,"49,924",42,580,0,8,4,30,170,366,44,1
Athens County,Athens,OH00501,ATHENS,"25,526",34,433,0,4,6,24,44,370,19,5
Athens County,Glouster,OH00502,GLOUSTER,"1,793",3,33,0,1,0,2,9,23,1,0
Athens County,Nelsonville,OH00503,NELSONVILLE,"5,284",13,152,0,2,4,7,32,114,6,0
Athens County,Albany,OH00504,ALBANY,899,0,11,0,0,0,0,1,10,0,0
#N/A,#N/A,OH00510,OHIO UNIVERSITY,0,9,102,0,8,1,0,13,86,3,0
Athens County,Coolville,OH00512,COOLVILLE,492,0,0,0,0,0,0,0,0,0,0
Athens County,Athens,OH00500,ATHENS COUNTY SHERIFF,"31,510",20,391,1,9,4,6,118,255,18,1
Auglaize County,Saint Marys,OH00601,ST. MARYS,"8,215",3,129,0,0,1,2,34,89,6,2
Auglaize County,Wapakoneta,OH00602,WAPAKONETA,"9,809",14,164,0,6,3,5,25,137,2,1
