,County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,Crime_Percent2017
7,Allen County,Lima,37220,275,5,52,81,137,738.8500806
8,Allen County,Bluffton,3987,1,0,1,0,0,25.08151492
9,Allen County,Delphos,3927,3,0,3,0,0,76.39419404
10,Allen County,Spencerville,2184,0,0,0,0,0,0
11,Allen County,Elida,1836,1,0,0,0,1,54.46623094
12,Allen County,Fort Shawnee,12096,14,1,4,3,6,115.7407407
16,Ashland County,Ashland,20485,25,0,7,4,14,122.0405175
17,Ashland County,Loudonville,2581,3,1,1,1,0,116.2340178
19,Ashtabula County,Geneva,1199,7,0,3,1,3,583.8198499
20,Ashtabula County,Roaming Shores,1466,0,0,0,0,0,0
21,Ashtabula County,Ashtabula,49924,42,0,8,4,30,84.12787437
22,Athens County,Athens,25526,34,0,4,6,24,133.1975241
23,Athens County,Glouster,1793,3,0,1,0,2,167.3173452
24,Athens County,Nelsonville,5284,13,0,2,4,7,246.0257381
25,Athens County,Albany,899,0,0,0,0,0,0
27,Athens County,Coolville,492,0,0,0,0,0,0
29,Auglaize County,Saint Marys,8215,3,0,0,1,2,36.5185636
30,Auglaize County,Wapakoneta,9809,14,0,6,3,5,142.7260679
31,Auglaize County,Minster,2866,0,0,0,0,0,0
32,Auglaize County,New Bremen,2966,0,0,0,0,0,0
33,Auglaize County,New Knoxville,864,0,0,0,0,0,0
35,Belmont County,Barnesville,4096,0,0,0,0,0,0
38,Belmont County,Martins Ferry,6731,13,0,6,0,7,193.1362353
39,Belmont County,Powhatan Point,1562,0,0,0,0,0,0
41,Belmont County,Saint Clairsville,5096,1,0,0,0,1,19.62323391
42,Belmont County,Flushing,858,0,0,0,0,0,0
44,Belmont County,Belmont,29108,34,2,10,2,20,116.8063763
46,Brown County,Georgetown,4356,10,0,6,3,1,229.5684114
47,Brown County,Ripley,1707,2,0,1,0,1,117.1646163
48,Brown County,Mount Orab,3525,4,1,2,0,1,113.4751773
52,Butler County,Fairfield,42627,90,1,11,12,66,211.1337884
53,Butler County,Hamilton,62094,312,3,75,111,123,502.4640062
54,Butler County,Middletown,46069,235,5,39,82,109,510.1044086
57,Butler County,Oxford,22459,18,0,5,7,6,80.1460439
58,Butler County,Oxford,2181,2,0,0,0,2,91.70105456
59,Butler County,West Chester,61386,64,0,21,15,28,104.2582999
65,Stark County,Minerva,1729,1,0,0,0,1,57.83689994
66,Stark County,Magnolia,258,0,0,0,0,0,0
71,Clark County,Springfield,58843,370,9,25,177,159,628.7918699
72,Clark County,Enon,2381,0,0,0,0,0,0
73,Clark County,South Charleston,1640,2,0,0,0,2,121.9512195
75,Clark County,South Vienna,375,0,0,0,0,0,0
77,Clermont County,Batavia,1656,0,0,0,0,0,0
78,Clermont County,Bethel,2791,3,0,0,0,3,107.4883554
79,Clermont County,Milford,6910,14,0,4,1,9,202.6049204
80,Clermont County,Amelia,4982,3,0,0,0,3,60.21678041
81,Clermont County,Felicity,825,3,0,1,0,2,363.6363636
