Index,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,77007,44107,Lakewood,OH,Cleveland-Elyria,Cuyahoga County,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800
2,76953,44035,Elyria,OH,Cleveland-Elyria,Lorain County,92,1301200,1220800,1133900,1081600,966400,917200,949000,943000,986100,1025700,1057600,1135700
3,76511,43081,Westerville,OH,Columbus,Franklin County,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600
4,76971,44060,Mentor,OH,Cleveland-Elyria,Lake County,134,2126100,2020200,1906100,1860900,1759300,1760800,1815000,1889700,1932700,2006500,2076200,2192200
5,76534,43123,Grove City,OH,Columbus,Franklin County,136,1745800,1687100,1641900,1616800,1541000,1500800,1554200,1612900,1719000,1851300,2008400,2153300
6,77094,44256,Medina,OH,Cleveland-Elyria,Medina County,152,2174200,2157600,2142600,2049400,1976600,2038800,2132900,2170800,2232400,2322500,2488800,2660400
7,77400,45011,Hamilton,OH,Cincinnati,Butler County,159,2108100,2023300,1945700,1931000,1827800,1847500,1903900,1964000,2020500,2118600,2226600,2390900
8,76539,43130,Lancaster,OH,Columbus,Fairfield County,179,1440900,1349500,1293100,1284500,1275900,1273500,1240900,1239600,1295000,1357800,1479000,1592200
9,76597,43230,Gahanna,OH,Columbus,Franklin County,204,2032500,1967400,1914200,1923500,1860300,1843700,1900700,1952400,2022800,2185300,2427400,2599400
10,76471,43026,Hilliard,OH,Columbus,Franklin County,237,2253500,2199000,2177100,2187700,2121300,2098100,2188300,2210000,2398700,2610300,2821500,2990100
11,77850,45840,Findlay,OH,Findlay,Hancock County,251,1497700,1449300,1394900,1383500,1333200,1327300,1376800,1417300,1438400,1485600,1576800,1658900
12,77030,44130,Parma Heights,OH,Cleveland-Elyria,Cuyahoga County,256,1615800,1505400,1445500,1430300,1314000,1288500,1311200,1307700,1322700,1402200,1525200,1624700
13,76796,43701,Zanesville,OH,Zanesville,Muskingum County,276,1191300,1150700,1114200,1108900,1071400,1065500,1061400,1066900,1078100,1094200,1147100,1265400
14,76983,44077,Painesville,OH,Cleveland-Elyria,Lake County,280,1763500,1696000,1598000,1573100,1483000,1512500,1526800,1566100,1642100,1710300,1769800,1838100
15,76595,43228,Columbus,OH,Columbus,Franklin County,289,1446600,1387100,1333900,1272500,1154700,1049500,1076300,1180300,1282600,1345200,1513400,1659900
16,76501,43068,Reynoldsburg,OH,Columbus,Franklin County,313,1712300,1641000,1576300,1559700,1485200,1426500,1419500,1525300,1584200,1677200,1841700,2007300
17,77698,45601,Chillicothe,OH,Chillicothe,Ross County,336,1184300,1137600,1123200,1117700,1128800,1099700,1082100,1098600,1195800,1271200,1271300,1385900
18,77418,45044,Middletown,OH,Cincinnati,Butler County,485,1491800,1392700,1316400,1279900,1170800,1132000,1222300,1267600,1262700,1333700,1448700,1540900
19,76596,43229,Columbus,OH,Columbus,Franklin County,487,1565900,1484100,1424200,1384200,1265000,1160300,1188100,1262000,1347300,1477900,1657900,1818300
20,77402,45013,Hamilton,OH,Cincinnati,Butler County,493,1590600,1512200,1377400,1349200,1282400,1247700,1298700,1330500,1372100,1451300,1550900,1641000
21,77463,45140,Loveland,OH,Cincinnati,Clermont County,566,2625600,2521300,2378700,2405600,2324000,2339500,2413100,2488600,2637700,2841800,2938800,3070200
22,77414,45040,Mason,OH,Cincinnati,Warren County,606,2818400,2729900,2665800,2705200,2639300,2607600,2691100,2879000,3009200,3091000,3250900,3437500
