,Index,RegionID,RegionName,City_x,State,Metro,CountyName,SizeRank,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 0,County,City_y,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
0,1,77007,44107,Lakewood,OH,Cleveland-Elyria,CUYAHOGA COUNTY,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,117.0,CUYAHOGA COUNTY,Cleveland,OHCLP00,CLEVELAND,"385,351","5,999","18,944",107.0,497.0,"2,697","2,698","5,853","9,696","3,395",253.0
1,1,77007,44107,Lakewood,OH,Cleveland-Elyria,CUYAHOGA COUNTY,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,119.0,CUYAHOGA COUNTY,Bay Village,OH01801,BAY VILLAGE,"15,327",2,73,0.0,1.0,0,1,11,61,1,0.0
2,1,77007,44107,Lakewood,OH,Cleveland-Elyria,CUYAHOGA COUNTY,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,120.0,CUYAHOGA COUNTY,Bedford,OH01803,BEDFORD,"12,641",25,228,1.0,1.0,16,7,50,146,32,0.0
3,1,77007,44107,Lakewood,OH,Cleveland-Elyria,CUYAHOGA COUNTY,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,122.0,CUYAHOGA COUNTY,Berea,OH01806,BEREA,"18,871",8,140,0.0,1.0,1,6,27,105,8,2.0
4,1,77007,44107,Lakewood,OH,Cleveland-Elyria,CUYAHOGA COUNTY,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,123.0,CUYAHOGA COUNTY,Brecksville,OH01808,BRECKSVILLE,"13,432",2,52,0.0,1.0,0,1,4,47,1,0.0
5,1,77007,44107,Lakewood,OH,Cleveland-Elyria,CUYAHOGA COUNTY,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,124.0,CUYAHOGA COUNTY,Broadview Heights,OH01809,BROADVIEW HEIGHTS,"19,228",1,21,0.0,0.0,0,1,5,11,5,0.0
6,1,77007,44107,Lakewood,OH,Cleveland-Elyria,CUYAHOGA COUNTY,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,127.0,CUYAHOGA COUNTY,Cleveland Heights,OH01815,CLEVELAND HEIGHTS,"44,525",131,879,2.0,16.0,79,34,125,655,99,1.0
7,1,77007,44107,Lakewood,OH,Cleveland-Elyria,CUYAHOGA COUNTY,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,128.0,CUYAHOGA COUNTY,Cleveland,OH01817,EAST CLEVELAND,"17,178",136,339,5.0,8.0,83,40,100,89,150,3.0
8,1,77007,44107,Lakewood,OH,Cleveland-Elyria,CUYAHOGA COUNTY,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,129.0,CUYAHOGA COUNTY,Euclid,OH01818,EUCLID,"47,270",303,"1,267",4.0,26.0,118,155,226,910,131,6.0
9,1,77007,44107,Lakewood,OH,Cleveland-Elyria,CUYAHOGA COUNTY,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,130.0,CUYAHOGA COUNTY,Fairview Park,OH01819,FAIRVIEW PARK,"16,307",18,176,1.0,1.0,4,12,14,155,7,1.0
10,1,77007,44107,Lakewood,OH,Cleveland-Elyria,CUYAHOGA COUNTY,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,131.0,CUYAHOGA COUNTY,Garfield Heights,OH01820,GARFIELD HEIGHTS,"27,846",0,0,0.0,0.0,0,0,0,0,0,0.0
11,1,77007,44107,Lakewood,OH,Cleveland-Elyria,CUYAHOGA COUNTY,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,132.0,CUYAHOGA COUNTY,Gates Mills,OH01821,GATES MILLS,"2,232",2,24,0.0,0.0,1,1,2,20,2,0.0
