,Index,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 0,County,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
0,1,77007,44107,Lakewood,OH,Cleveland-Elyria,CUYAHOGA COUNTY,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,136.0,CUYAHOGA COUNTY,OH01826,LAKEWOOD,"50,151",74,"1,199",2.0,6.0,40,26,469,652,78,5.0
1,2,76953,44035,Elyria,OH,Cleveland-Elyria,LORAIN COUNTY,92,1301200,1220800,1133900,1081600,966400,917200,949000,943000,986100,1025700,1057600,1135700,371.0,LORAIN COUNTY,OH04704,ELYRIA,"53,586",191,"1,146",3.0,39.0,64,85,248,842,56,12.0
2,3,76511,43081,Westerville,OH,Columbus,FRANKLIN COUNTY,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,174.0,FRANKLIN COUNTY,OH02510,WESTERVILLE,"8,531",9,205,0.0,3.0,3,3,17,184,4,0.0
3,3,76511,43081,Westerville,OH,Columbus,FRANKLIN COUNTY,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,209.0,FRANKLIN COUNTY,OH02510,WESTERVILLE,"30,887",35,740,0.0,9.0,13,13,60,667,13,2.0
4,4,76971,44060,Mentor,OH,Cleveland-Elyria,LAKE COUNTY,134,2126100,2020200,1906100,1860900,1759300,1760800,1815000,1889700,1932700,2006500,2076200,2192200,343.0,LAKE COUNTY,OH04306,MENTOR,"46,663",72,908,0.0,11.0,17,44,105,780,23,6.0
5,5,76534,43123,Grove City,OH,Columbus,FRANKLIN COUNTY,136,1745800,1687100,1641900,1616800,1541000,1500800,1554200,1612900,1719000,1851300,2008400,2153300,205.0,FRANKLIN COUNTY,OH02506,GROVE CITY,"40,421",47,"1,365",4.0,14.0,24,5,112,"1,197",56,0.0
6,6,77094,44256,Medina,OH,Cleveland-Elyria,MEDINA COUNTY,152,2174200,2157600,2142600,2049400,1976600,2038800,2132900,2170800,2232400,2322500,2488800,2660400,426.0,MEDINA COUNTY,OH05202,MEDINA,"26,199",17,324,1.0,5.0,5,6,55,269,0,0.0
7,7,77400,45011,Hamilton,OH,Cincinnati,BUTLER COUNTY,159,2108100,2023300,1945700,1931000,1827800,1847500,1903900,1964000,2020500,2118600,2226600,2390900,53.0,BUTLER COUNTY,OH00902,HAMILTON,"62,094",312,"2,608",3.0,75.0,111,123,716,"1,890",2,33.0
8,8,76539,43130,Lancaster,OH,Columbus,FAIRFIELD COUNTY,179,1440900,1349500,1293100,1284500,1275900,1273500,1240900,1239600,1295000,1357800,1479000,1592200,186.0,FAIRFIELD COUNTY,OH02301,LANCASTER,"40,026",127,"1,706",0.0,24.0,33,70,236,"1,382",88,12.0
9,9,76597,43230,Gahanna,OH,Columbus,FRANKLIN COUNTY,204,2032500,1967400,1914200,1923500,1860300,1843700,1900700,1952400,2022800,2185300,2427400,2599400,203.0,FRANKLIN COUNTY,OH02504,GAHANNA,"35,243",25,791,1.0,13.0,5,6,87,677,27,6.0
10,10,76471,43026,Hilliard,OH,Columbus,FRANKLIN COUNTY,237,2253500,2199000,2177100,2187700,2121300,2098100,2188300,2210000,2398700,2610300,2821500,2990100,206.0,FRANKLIN COUNTY,OH02507,HILLIARD,"36,144",17,404,0.0,6.0,2,9,75,293,36,2.0
11,11,77850,45840,Findlay,OH,Findlay,HANCOCK COUNTY,251,1497700,1449300,1394900,1383500,1333200,1327300,1376800,1417300,1438400,1485600,1576800,1658900,294.0,HANCOCK COUNTY,OH03201,FINDLAY,"41,474",128,"1,304",3.0,25.0,24,76,216,"1,050",38,3.0
12,12,77030,44130,Parma Heights,OH,Cleveland-Elyria,CUYAHOGA COUNTY,256,1615800,1505400,1445500,1430300,1314000,1288500,1311200,1307700,1322700,1402200,1525200,1624700,145.0,CUYAHOGA COUNTY,OH01843,PARMA HEIGHTS,"20,094",1,53,0.0,0.0,0,1,10,40,3,0.0
13,13,76796,43701,Zanesville,OH,Zanesville,MUSKINGUM COUNTY,276,1191300,1150700,1114200,1108900,1071400,1065500,1061400,1066900,1078100,1094200,1147100,1265400,484.0,MUSKINGUM COUNTY,OH06001,ZANESVILLE,"25,457",100,"1,157",0.0,19.0,21,60,203,897,57,16.0
14,14,76983,44077,Painesville,OH,Cleveland-Elyria,LAKE COUNTY,280,1763500,1696000,1598000,1573100,1483000,1512500,1526800,1566100,1642100,1710300,1769800,1838100,345.0,LAKE COUNTY,OH04308,PAINESVILLE,"19,719",11,22,1.0,1.0,0,9,7,13,2,0.0
15,15,76595,43228,Columbus,OH,Columbus,FRANKLIN COUNTY,289,1446600,1387100,1333900,1272500,1154700,1049500,1076300,1180300,1282600,1345200,1513400,1659900,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
16,15,76595,43228,Columbus,OH,Columbus,FRANKLIN COUNTY,289,1446600,1387100,1333900,1272500,1154700,1049500,1076300,1180300,1282600,1345200,1513400,1659900,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
17,15,76595,43228,Columbus,OH,Columbus,FRANKLIN COUNTY,289,1446600,1387100,1333900,1272500,1154700,1049500,1076300,1180300,1282600,1345200,1513400,1659900,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
18,16,76501,43068,Reynoldsburg,OH,Columbus,FRANKLIN COUNTY,313,1712300,1641000,1576300,1559700,1485200,1426500,1419500,1525300,1584200,1677200,1841700,2007300,193.0,FRANKLIN COUNTY,OH02508,REYNOLDSBURG,936,3,26,0.0,1.0,1,1,3,22,1,0.0
19,16,76501,43068,Reynoldsburg,OH,Columbus,FRANKLIN COUNTY,313,1712300,1641000,1576300,1559700,1485200,1426500,1419500,1525300,1584200,1677200,1841700,2007300,207.0,FRANKLIN COUNTY,OH02508,REYNOLDSBURG,"27,631",71,780,1.0,16.0,35,19,98,656,26,3.0
20,16,76501,43068,Reynoldsburg,OH,Columbus,FRANKLIN COUNTY,313,1712300,1641000,1576300,1559700,1485200,1426500,1419500,1525300,1584200,1677200,1841700,2007300,358.0,FRANKLIN COUNTY,OH02508,REYNOLDSBURG,"9,137",25,256,0.0,6.0,12,7,32,216,8,1.0
21,17,77698,45601,Chillicothe,OH,Chillicothe,ROSS COUNTY,336,1184300,1137600,1123200,1117700,1128800,1099700,1082100,1098600,1195800,1271200,1271300,1385900,551.0,ROSS COUNTY,OH07101,CHILLICOTHE,"21,695",93,"1,496",0.0,14.0,28,51,284,"1,160",52,6.0
22,18,77418,45044,Middletown,OH,Cincinnati,BUTLER COUNTY,485,1491800,1392700,1316400,1279900,1170800,1132000,1222300,1267600,1262700,1333700,1448700,1540900,54.0,BUTLER COUNTY,OH00903,MIDDLETOWN,"46,069",235,"2,788",5.0,39.0,82,109,645,"1,973",170,0.0
23,18,77418,45044,Middletown,OH,Cincinnati,BUTLER COUNTY,485,1491800,1392700,1316400,1279900,1170800,1132000,1222300,1267600,1262700,1333700,1448700,1540900,641.0,BUTLER COUNTY,OH00903,MIDDLETOWN,"2,759",14,168,0.0,2.0,5,7,39,119,10,0.0
24,19,76596,43229,Columbus,OH,Columbus,FRANKLIN COUNTY,487,1565900,1484100,1424200,1384200,1265000,1160300,1188100,1262000,1347300,1477900,1657900,1818300,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
25,19,76596,43229,Columbus,OH,Columbus,FRANKLIN COUNTY,487,1565900,1484100,1424200,1384200,1265000,1160300,1188100,1262000,1347300,1477900,1657900,1818300,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
26,19,76596,43229,Columbus,OH,Columbus,FRANKLIN COUNTY,487,1565900,1484100,1424200,1384200,1265000,1160300,1188100,1262000,1347300,1477900,1657900,1818300,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
27,20,77402,45013,Hamilton,OH,Cincinnati,BUTLER COUNTY,493,1590600,1512200,1377400,1349200,1282400,1247700,1298700,1330500,1372100,1451300,1550900,1641000,53.0,BUTLER COUNTY,OH00902,HAMILTON,"62,094",312,"2,608",3.0,75.0,111,123,716,"1,890",2,33.0
28,21,77463,45140,Loveland,OH,Cincinnati,CLERMONT COUNTY,566,2625600,2521300,2378700,2405600,2324000,2339500,2413100,2488600,2637700,2841800,2938800,3070200,90.0,CLERMONT COUNTY,OH03120,LOVELAND,"2,070",2,18,0.0,1.0,0,1,4,13,1,0.0
29,21,77463,45140,Loveland,OH,Cincinnati,CLERMONT COUNTY,566,2625600,2521300,2378700,2405600,2324000,2339500,2413100,2488600,2637700,2841800,2938800,3070200,275.0,CLERMONT COUNTY,OH03120,LOVELAND,"9,953",10,86,0.0,5.0,1,4,19,61,6,1.0
30,21,77463,45140,Loveland,OH,Cincinnati,CLERMONT COUNTY,566,2625600,2521300,2378700,2405600,2324000,2339500,2413100,2488600,2637700,2841800,2938800,3070200,643.0,CLERMONT COUNTY,OH03120,LOVELAND,823,0,7,0.0,0.0,0,0,2,5,0,0.0
31,22,77414,45040,Mason,OH,Cincinnati,WARREN COUNTY,606,2818400,2729900,2665800,2705200,2639300,2607600,2691100,2879000,3009200,3091000,3250900,3437500,647.0,WARREN COUNTY,OH08304,MASON,"33,406",12,357,0.0,5.0,3,4,31,321,5,0.0
32,23,77664,45424,Huber Heights,OH,Dayton,MONTGOMERY COUNTY,614,1442300,1356600,1279100,1279100,1185600,1154700,1162900,1164300,1140100,1213700,1342800,1424500,452.0,DAYTON,OH05714,HUBER HEIGHTS,995,2,24,0.0,0.0,1,1,3,20,1,0.0
33,23,77664,45424,Huber Heights,OH,Dayton,MONTGOMERY COUNTY,614,1442300,1356600,1279100,1279100,1185600,1154700,1162900,1164300,1140100,1213700,1342800,1424500,466.0,DAYTON,OH05714,HUBER HEIGHTS,"37,001",75,927,0.0,15.0,20,40,114,762,51,5.0
34,24,77260,44646,Massillon,OH,Canton-Massillon,STARK COUNTY,660,1462700,1370800,1304700,1255200,1133800,1130500,1165800,1242500,1302800,1307300,1426000,1550700,567.0,STARK COUNTY,OH07608,MASSILLON,"32,265",52,401,0.0,14.0,11,27,69,326,6,6.0
35,25,77434,45069,West Chester,OH,Cincinnati,BUTLER COUNTY,695,2509400,2427000,2324400,2319900,2177700,2226600,2290900,2343100,2421800,2603700,2807500,2958400,59.0,BUTLER COUNTY,OH00915,WEST CHESTER TOWNSHIP,"61,386",64,"1,300",0.0,21.0,15,28,170,"1,086",44,5.0
36,26,77024,44124,Lyndhurst,OH,Cleveland-Elyria,CUYAHOGA COUNTY,730,1852100,1729100,1626700,1574700,1488100,1474600,1513100,1533600,1530100,1572200,1679300,1773800,137.0,CUYAHOGA COUNTY,OH01827,LYNDHURST,"13,586",18,180,0.0,0.0,7,11,21,148,11,0.0
37,27,77529,45238,Cincinnati,OH,Cincinnati,HAMILTON COUNTY,731,1477500,1385300,1256000,1201800,1170800,1145600,1133600,1133900,1148600,1190500,1324000,1414500,257.0,HAMILTON COUNTY,OHCIP00,CINCINNATI,"299,116","2,833","15,105",70.0,292.0,"1,196","1,275","3,448","10,172","1,485",1.0
38,28,76601,43235,Columbus,OH,Columbus,FRANKLIN COUNTY,795,2686300,2624600,2544500,2543200,2495400,2468200,2596200,2717600,2826500,2989700,3258100,3475400,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
39,28,76601,43235,Columbus,OH,Columbus,FRANKLIN COUNTY,795,2686300,2624600,2544500,2543200,2495400,2468200,2596200,2717600,2826500,2989700,3258100,3475400,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
40,28,76601,43235,Columbus,OH,Columbus,FRANKLIN COUNTY,795,2686300,2624600,2544500,2543200,2495400,2468200,2596200,2717600,2826500,2989700,3258100,3475400,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
41,29,76774,43615,Toledo,OH,Toledo,LUCAS COUNTY,860,1376200,1240300,1140100,1103100,997500,991400,1029500,1066500,1062700,1091100,1160700,1211500,381.0,LUCAS COUNTY,OH04807,TOLEDO,"277,116","2,829","11,095",35.0,180.0,780,"1,834","3,103","7,247",745,0.0
42,30,77403,45014,Fairfield,OH,Cincinnati,BUTLER COUNTY,873,1861500,1779600,1685700,1674000,1569700,1523500,1590400,1640900,1665700,1791300,1893300,2047600,52.0,BUTLER COUNTY,OH00901,FAIRFIELD,"42,627",90,932,1.0,11.0,12,66,99,782,51,2.0
43,30,77403,45014,Fairfield,OH,Cincinnati,BUTLER COUNTY,873,1861500,1779600,1685700,1674000,1569700,1523500,1590400,1640900,1665700,1791300,1893300,2047600,194.0,BUTLER COUNTY,OH02300,FAIRFIELD,"75,853",38,962,0.0,15.0,6,17,153,793,16,2.0
44,31,76576,43207,Columbus,OH,Columbus,FRANKLIN COUNTY,879,1073700,1004300,914700,904900,784600,710100,660500,723700,831400,864800,1008900,1229800,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
45,31,76576,43207,Columbus,OH,Columbus,FRANKLIN COUNTY,879,1073700,1004300,914700,904900,784600,710100,660500,723700,831400,864800,1008900,1229800,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
46,31,76576,43207,Columbus,OH,Columbus,FRANKLIN COUNTY,879,1073700,1004300,914700,904900,784600,710100,660500,723700,831400,864800,1008900,1229800,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
47,32,76599,43232,Columbus,OH,Columbus,FRANKLIN COUNTY,887,1207400,1141300,1028900,1002300,918400,828900,759200,809200,949200,982100,1143700,1325000,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
48,32,76599,43232,Columbus,OH,Columbus,FRANKLIN COUNTY,887,1207400,1141300,1028900,1002300,918400,828900,759200,809200,949200,982100,1143700,1325000,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
49,32,76599,43232,Columbus,OH,Columbus,FRANKLIN COUNTY,887,1207400,1141300,1028900,1002300,918400,828900,759200,809200,949200,982100,1143700,1325000,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
50,33,76463,43016,Dublin,OH,Columbus,FRANKLIN COUNTY,961,3053900,3024700,2956500,2931200,2870900,2912600,2997200,3144700,3304700,3489700,3738400,3974900,173.0,FRANKLIN COUNTY,OH02503,DUBLIN,"4,534",3,53,0.0,1.0,1,1,6,45,2,0.0
51,33,76463,43016,Dublin,OH,Columbus,FRANKLIN COUNTY,961,3053900,3024700,2956500,2931200,2870900,2912600,2997200,3144700,3304700,3489700,3738400,3974900,202.0,FRANKLIN COUNTY,OH02503,DUBLIN,"39,242",27,456,1.0,10.0,8,8,51,388,17,1.0
52,33,76463,43016,Dublin,OH,Columbus,FRANKLIN COUNTY,961,3053900,3024700,2956500,2931200,2870900,2912600,2997200,3144700,3304700,3489700,3738400,3974900,633.0,FRANKLIN COUNTY,OH02503,DUBLIN,"2,510",1,29,0.0,1.0,0,0,3,25,1,0.0
53,34,77296,44691,Wooster,OH,Wooster,WAYNE COUNTY,984,1502100,1452100,1437000,1376100,1361700,1389100,1439300,1461300,1499700,1549000,1638500,1735600,661.0,WAYNE COUNTY,OH08503,WOOSTER,"27,172",102,916,0.0,30.0,24,48,157,722,37,6.0
54,35,76592,43224,Columbus,OH,Columbus,FRANKLIN COUNTY,1004,1087400,1028300,987200,931700,785000,695200,673800,716600,794900,875300,1057800,1223600,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
55,35,76592,43224,Columbus,OH,Columbus,FRANKLIN COUNTY,1004,1087400,1028300,987200,931700,785000,695200,673800,716600,794900,875300,1057800,1223600,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
56,35,76592,43224,Columbus,OH,Columbus,FRANKLIN COUNTY,1004,1087400,1028300,987200,931700,785000,695200,673800,716600,794900,875300,1057800,1223600,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
57,36,77068,44212,Brunswick,OH,Cleveland-Elyria,MEDINA COUNTY,1030,1986500,1930600,1884800,1823500,1710400,1677300,1753600,1862900,1914700,1948300,2054600,2155900,425.0,MEDINA COUNTY,OH05201,BRUNSWICK,"34,838",21,194,1.0,2.0,4,14,22,161,11,0.0
58,37,77374,44870,Sandusky,OH,Sandusky,ERIE COUNTY,1053,1122800,1069700,1027800,982700,946300,949200,959300,987100,969800,974700,1004400,1031100,177.0,ERIE COUNTY,OH02203,SANDUSKY,"24,861",70,995,1.0,13.0,31,25,187,769,39,2.0
59,38,76573,43204,Columbus,OH,Columbus,FRANKLIN COUNTY,1118,1153600,1085400,990200,948500,819600,742500,803500,830700,896100,957800,1109500,1286300,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
60,38,76573,43204,Columbus,OH,Columbus,FRANKLIN COUNTY,1118,1153600,1085400,990200,948500,819600,742500,803500,830700,896100,957800,1109500,1286300,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
61,38,76573,43204,Columbus,OH,Columbus,FRANKLIN COUNTY,1118,1153600,1085400,990200,948500,819600,742500,803500,830700,896100,957800,1109500,1286300,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
