,Unnamed: 0_x,County_x,City,AGENCY NAME_x,POPULATION_x,VIOLENT CRIME_x,PROPERTY CRIME_x,MURDER_x,RAPE_x,ROBBERY_x,AGGRAVATED ASSAULT_x,BURGLARY_x,LARCENY_x,MTR VEHICLE THEFT_x,ARSON_x,Unnamed: 0_y,County_y,ORI,AGENCY NAME_y,POPULATION_y,VIOLENT CRIME_y,PROPERTY CRIME_y,MURDER_y,RAPE_y,ROBBERY_y,AGGRAVATED ASSAULT_y,BURGLARY_y,LARCENY_y,MTR VEHICLE THEFT_y,ARSON_y
0,9.0,ALLEN COUNTY,Lima,LIMA,"37,715",356,"2,259",8.0,44.0,123,181,602,"1,540",117,22.0,7.0,ALLEN COUNTY,OH00204,LIMA,"37,220",275,"1,982",5.0,52.0,81,137,569,"1,334",79,20.0
1,10.0,ALLEN COUNTY,Bluffton,BLUFFTON,"3,953",1,78,0.0,0.0,1,0,15,59,4,0.0,8.0,ALLEN COUNTY,OH00201,BLUFFTON,"3,987",1,46,0.0,1.0,0,0,9,36,1,0.0
2,10.0,ALLEN COUNTY,Bluffton,BLUFFTON,"3,953",1,78,0.0,0.0,1,0,15,59,4,0.0,293.0,ALLEN COUNTY,OH00201,BLUFFTON,170,0,2,0.0,0.0,0,0,0,2,0,0.0
3,11.0,ALLEN COUNTY,Delphos,DELPHOS,"3,884",2,83,0.0,1.0,0,1,13,69,1,0.0,9.0,ALLEN COUNTY,OH00202,DELPHOS,"3,927",3,90,0.0,3.0,0,0,17,72,1,0.0
4,11.0,ALLEN COUNTY,Delphos,DELPHOS,"3,884",2,83,0.0,1.0,0,1,13,69,1,0.0,636.0,ALLEN COUNTY,OH00202,DELPHOS,"3,052",3,69,0.0,3.0,0,0,13,56,0,0.0
5,12.0,ALLEN COUNTY,Spencerville,SPENCERVILLE,"2,195",1,28,0.0,0.0,0,1,5,23,0,1.0,10.0,ALLEN COUNTY,OH00205,SPENCERVILLE,"2,184",0,14,0.0,0.0,0,0,5,9,0,0.0
6,13.0,ALLEN COUNTY,Elida,ELIDA,"1,852",0,16,0.0,0.0,0,0,3,12,1,0.0,11.0,ALLEN COUNTY,OH00207,ELIDA,"1,836",1,4,0.0,0.0,0,1,1,3,0,0.0
7,18.0,ASHLAND COUNTY,Ashland,ASHLAND,"20,278",24,405,2.0,14.0,1,7,73,325,7,1.0,16.0,ASHLAND COUNTY,OH00301,ASHLAND,"20,485",25,375,0.0,7.0,4,14,44,326,5,0.0
8,18.0,ASHLAND COUNTY,Ashland,ASHLAND,"20,278",24,405,2.0,14.0,1,7,73,325,7,1.0,18.0,ASHLAND COUNTY,OH00300,ASHLAND,"29,919",35,204,0.0,20.0,0,15,50,137,17,1.0
9,20.0,ASHLAND COUNTY,Ashland,ASHLAND COUNTY SHERIFF,"29,425",31,190,1.0,15.0,4,11,63,116,11,0.0,16.0,ASHLAND COUNTY,OH00301,ASHLAND,"20,485",25,375,0.0,7.0,4,14,44,326,5,0.0
