RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
10920,Columbus,Ohio,15,115100,109700,114100,111500,110600,1.05E+05,102700,100400,96500,90800,9.30E+04,91100,90900,87500,91800,98300,104400,109100,113300,116700,118100,111300,100400,98400,100900,103100,102600,104900,99400,88900,77200,79100,81300,87700,86200,81100,75600,75300,76700,79600,81400,86900,86400,84600,83200,85300,86400,82900,82400,86900,98400,104300,108900,106300,105800,103600,102700,98100,103800,100700,101900,93800,99800,105300,111200,114600,112600,108600,106300,105800,108100,108600,111300,115600,117800,122100,121400,121900,119200,122400,123600,124700,120700,142700,142700,144300,124300,124800,123900,121800,121200,120500,120100,118200,120100,1.24E+05,129300,132200,1.33E+05,1.32E+05,132800,134200,1.38E+05,141500,144200,146700,149900,147600,146200,1.42E+05,1.43E+05,1.42E+05,142700,144400,145900,147100,148200,150600,154100,155900,154700,150800,146900,146700,147400,149800,150700,151900,154100,155800,158100,159100,162200,160300,158400,155800,159200
24115,Cleveland,Ohio,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36500,39200,41200,39700,38300,33400,33400,32600,34900,36500,36800,43400,4.30E+04,46400,41400,40700,38300,4.00E+04,4.20E+04,42800,44700,46400,4.90E+04,50600,49600,48700,50300,55300,59400,60100,56900,54500,56300,61400,63600,61300,59500,58700,60200,60100,57300,53100,53200,5.70E+04,62300,68800,70300,74900,69100,67100,64100
4099,Cincinnati,Ohio,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141200,134900,142500,145200,146900,144500,146400,145300,145400,144500,146300,147900,151300,158400,1.62E+05,151800,143400,144900,150900,157100,152100,153600,155800,155800,158600,158800,1.65E+05,170600,
34303,Toledo,Ohio,65,,,,,,,,,,,,,,,,,,,41700,46900,5.20E+04,52100,48600,46100,42300,42900,41900,47300,45700,42400,36100,34800,33400,34600,36100,35900,34500,32300,34700,36300,35900,34300,3.30E+04,32700,31500,31700,31700,33400,31800,34700,36600,42100,41100,40200,40600,42900,46800,44800,45200,4.50E+04,45700,44100,41200,42100,41400,44500,45200,48400,51300,56400,56300,53200,48200,51500,5.30E+04,57200,56800,58800,58300,60500,60400,61200,63200,6.80E+04,70600,67100,6.50E+04,61500,64500,59100,60100,59200,65800,67500,63700,61500,62200,7.10E+04,71900,71400,70500,68700,69900,67400,65800,64800,65500,7.10E+04,72600,73600,73100,71200,70200,69300,70400,74700,74400,75900,7.20E+04,71700,70100,70200,71800,74300,74600,74900,70300,69600,6.80E+04,70800,73800,,,,,,
30141,Akron,Ohio,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46800,44400,45200,42500,39400,40300,43200,50100,49900,5.10E+04,50700,52300,52200,5.30E+04,53100,53900,55300,5.50E+04,56300,57200,58100,57100,58100,59500,59100,61300,61500,64400,61900,63300,61200,6.10E+04,59600,6.50E+04,6.80E+04,72600,67900,73900,70200,73100,68100,69700,72400,69900,69300,69300
51260,Canton,Ohio,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86400,87400,87700,90400,88500,92200,92100,94900,1.19E+05,122900,1.25E+05,97100,91500,85900,84400,81800,86100,93100,97600,96900,106400,115800,121200,109300,1.05E+05,105400,106900
11786,Hamilton,Ohio,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104300,110300,113700,110800,109200,113100,119100,112600,106200,102800,128100,126900,1.30E+05,108700,112400,114300,123700,125600,1.25E+05,118600,119800,119200,1.21E+05,118600,119800,115300,118200,124100,127300,120900,117800,124800,1.36E+05,133700,135700,155200,162300,164600,140900,1.41E+05,135500,138800,1.28E+05,134500,1.29E+05,146100,1.44E+05,157400,1.65E+05,155900,150100,138400,146600,148500,134300,133300,131900,151100,150100,159600,154600,158200,149900,147200,145500,137300,137300,139300,139900,142500,1.53E+05,175400,176300,167300,147600,143700,141900,
34103,Springfield,Ohio,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54400,62800,6.40E+04,6.70E+04,65100,58400,61500,65800,73200,69300,70700,70400,7.50E+04,67600,64400,56700,56700,60400,62200,63500,56700,59900,61900,67200,70500,73100,69500,68700,70300,74700,79800,74900,73200,72700,7.70E+04,79700,76100,74200,71200,73700,7.20E+04,72600,63700,67400,72800,78500,80900,73600,74600,6.90E+04,7.40E+04,74900,72600,75500,77200,83400,79600,76400,77900,78400,79600,81400,85400,103500,107100,105500,91600,89800,88900,89500,85500,85500,85700,90200,90300,87200,82800,80900,80700,83100,86900,88300,86300,89300,87200,8.90E+04,82900,88700,90400,9.20E+04,93100,93500,99900,96700,95900,95800
53812,Parma,Ohio,489,104200,110600,109400,1.07E+05,104500,1.04E+05,106500,101600,97900,93500,89100,90100,83400,87700,88900,93800,93800,94900,99300,100300,101100,1.03E+05,105700,104800,104500,106900,102500,99500,94900,96800,95800,9.00E+04,90500,90600,92500,85300,7.50E+04,74600,7.30E+04,77700,75900,76800,74600,73900,78500,77400,75600,67400,69300,71900,81200,83800,85600,79700,78300,76400,77300,78600,74300,78300,78500,84600,80200,8.20E+04,81100,82500,80800,81200,82500,83900,80100,80100,76900,80300,79900,84700,86900,88200,84600,84700,85700,86100,92100,89700,93400,84900,87600,83600,86100,86300,91200,92800,92300,91500,91100,88500,89200,9.40E+04,98900,100800,98100,98600,97400,97100,98200,101200,102800,9.80E+04,96800,97700,104300,103900,104700,105300,107900,108300,107700,105900,108900,111500,115300,116100,117600,115900,114300,112400,114300,114900,119800,118200,117500,116200,120800,1.23E+05,124200,122700,122500
28060,Youngstown,Ohio,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20300,21600,21700,25500,26900,26600,21600,19400,19600,21400,21200,22200,22500,2.20E+04,21700,21300,22600,22900,24500,24800,2.60E+04,25300,24700,22900,23600,26400,28300,27600,25100,25800,27700,27700,27700,28300,33600,3.50E+04,3.50E+04,29100,26400,27800,30600,28700,27900,26700,27400,27200,27900,33300,30800,
